mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2014-01-01 00:00:00,360246969,-0.74,-0.09,-0.65,-234160530
2014-04-02 07:30:00,360246969,-1.12,-0.04,-1.08,-389066727
2014-07-02 15:00:00,360246969,-1.62,-0.01,-1.61,-579997621
2014-10-01 22:30:00,360246969,-1.82,-0.0,-1.82,-655649484
2015-01-01 00:00:00,360246969,-1.43,-0.03,-1.4,-504345757
2015-04-02 07:30:00,360246969,-0.81,-0.06,-0.75,-270185227
2015-07-02 15:00:00,360246969,-0.25,-0.09,-0.16,-57639515
2015-10-01 22:30:00,360246969,0.12,-0.08,0.2,72049394
2016-01-01 00:00:00,360246969,0.33,-0.05,0.38,136893848
2016-04-01 07:30:00,360246969,0.38,-0.02,0.4,144098788
2016-07-01 15:00:00,360246969,0.39,-0.0,0.39,140496318
2016-09-30 22:30:00,360246969,0.32,0.0,0.32,115279030
2017-01-01 00:00:00,360246969,0.27,0.0,0.27,97266682
2017-04-02 07:30:00,360246969,0.25,0.0,0.25,90061742
2017-07-02 15:00:00,360246969,0.25,0.01,0.24,86459273
2017-10-01 22:30:00,360246969,0.24,0.01,0.23,82856803
2018-01-01 00:00:00,360246969,0.23,0.01,0.22,79254333
2018-04-02 07:30:00,360246969,0.2,-0.0,0.2,72049394
2018-07-02 15:00:00,360246969,0.17,-0.01,0.18,64844454
2018-10-01 22:30:00,360246969,0.15,-0.01,0.16,57639515
2019-01-01 00:00:00,360246969,0.14,-0.01,0.15,54037045
2019-04-02 13:30:00,360246969,0.48,0.1,0.38,136893848
2019-07-02 21:00:00,360246969,-0.57,0.05,-0.62,-223353121
2019-10-02 04:30:00,360246969,2.13,0.06,2.07,745711226
2020-01-01 12:00:00,360246969,0.42,-0.07,0.49,176521015
2020-04-01 19:30:00,360246969,-0.16,-0.07,-0.09,-32422227
2020-07-02 03:00:00,360246969,0.47,0.05,0.42,151303727
2020-10-01 10:30:00,360246969,0.25,0.06,0.19,68446924
2020-12-31 18:00:00,360246969,0.08,0.02,0.06,21614818
2021-04-02 01:30:00,360246969,-0.1,0.03,-0.13,-46832106
2021-07-02 09:00:00,360246969,0.33,0.04,0.29,104471621
2021-10-01 16:30:00,360246969,0.13,0.01,0.12,43229636
2022-01-01 00:00:00,360246969,0.05,-0.02,0.07,25217288
2022-04-02 07:30:00,360246969,0.04,0.01,0.03,10807409
2022-07-02 15:00:00,360246969,0.06,0.05,0.01,3602470
2022-10-01 22:30:00,360246969,0.1,0.03,0.07,25217288
2023-01-01 06:00:00,360246969,-0.06,-0.07,0.01,3602470
2023-04-02 13:30:00,360246969,0.08,0.02,0.06,21614818
2023-07-02 21:00:00,360246969,0.16,0.09,0.07,25217288
2023-10-02 04:30:00,360246969,0.11,0.16,-0.05,-18012348
2024-01-01 12:00:00,360246969,-5.12,-0.17,-4.95,-1783222498
2024-04-01 19:30:00,360246969,-2.4,-0.1,-2.3,-828568029
2024-07-02 03:00:00,360246969,0.42,0.12,0.3,108074091
2024-10-01 10:30:00,360246969,-0.59,-0.29,-0.3,-108074091
