midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-11-16 14:15:00,56459203.4527781,0.0910968772680373,0.030719102415862422,0.06037777485217487,3408881.0744049703
2011-02-15 12:45:00,56459203.4527781,0.1338252901762839,0.03701854030156749,0.09680674987471641,5465631.986778814
2011-05-17 23:15:00,56459203.4527781,0.07611820344975838,0.02220242049789266,0.05391578295186572,3044042.1589952116
2011-08-17 06:45:00,56459203.4527781,0.0216201867477618,-0.021867805229737983,0.04348799197749978,2455297.386810442
2011-11-16 14:15:00,56459203.4527781,-0.02977358409926621,-0.06208262563127005,0.03230904153200384,1824142.7492196623
2012-02-15 12:45:00,56459203.4527781,-0.06202397435485401,-0.05937985508813345,-0.0026441192667205626,-149284.8676331867
2012-05-16 23:15:00,56459203.4527781,-0.103628892327736,-0.060827091218565124,-0.04280180110917088,-2416555.596968022
2012-08-16 06:45:00,56459203.4527781,-0.1448628870258639,-0.0769902336668016,-0.06787265335906228,-3832035.9448791808
2012-11-15 14:15:00,56459203.4527781,-0.15288913747110452,-0.11779886261250418,-0.03509027485860035,-1981168.9674556213
2013-02-16 00:45:00,56459203.4527781,-0.18040601443381174,-0.15518915001721453,-0.025216864416597207,-1423724.0785377822
2013-05-17 23:15:00,56459203.4527781,-0.23654579381701524,-0.17178641543276446,-0.06475937838425078,-3656262.919671855
2013-08-17 06:45:00,56459203.4527781,-0.2422855092118295,-0.17570429224198042,-0.06658121696984909,-3759122.4750342714
2013-11-16 14:15:00,56459203.4527781,-0.17831441647722915,-0.18647211032047817,0.00815769384324902,460576.8964014717
2014-02-15 12:45:00,56459203.4527781,-0.14995246285813835,-0.1746731288234351,0.024720665965296762,1395709.109222857
2014-05-17 23:15:00,56459203.4527781,-0.13347198071904082,-0.12130078670700958,-0.012171194012031233,-687175.918988506
2014-08-17 06:45:00,56459203.4527781,-0.09486880891677783,-0.07868535472070073,-0.0161834541960771,-913704.9330250324
2014-11-16 14:15:00,56459203.4527781,-0.02767567857219027,-0.06962160077310976,0.04194592220091949,2368233.3555561155
2015-02-15 12:45:00,56459203.4527781,-0.06196786491668555,-0.13071522413321726,0.06874735921653172,3881421.140847384
2015-05-17 23:15:00,56459203.4527781,-0.13604274029849858,-0.1679518121000151,0.03190907180151653,1801560.7768311265
2015-08-17 06:45:00,56459203.4527781,-0.1515974389736771,-0.1753154265693325,0.023717987595655382,1339098.6871535745
