midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-11-16 14:15:00,192853014,-0.27,-0.32,0.05,9642651
2011-02-15 12:45:00,192853014,-0.3,-0.34,0.04,7714121
2011-05-17 23:15:00,192853014,-0.34,-0.35,0.01,1928530
2011-08-17 06:45:00,192853014,-0.34,-0.33,-0.01,-1928530
2011-11-16 14:15:00,192853014,-0.29,-0.29,0.0,0
2012-02-15 12:45:00,192853014,-0.25,-0.25,0.0,0
2012-05-16 23:15:00,192853014,-0.26,-0.25,-0.01,-1928530
2012-08-16 06:45:00,192853014,-0.31,-0.29,-0.02,-3857060
2012-11-15 14:15:00,192853014,-0.32,-0.31,-0.01,-1928530
2013-02-16 00:45:00,192853014,-0.42,-0.35,-0.07,-13499711
2013-05-17 23:15:00,192853014,-0.6,-0.43,-0.17,-32785012
2013-08-17 06:45:00,192853014,-0.74,-0.52,-0.22,-42427663
2013-11-16 14:15:00,192853014,-0.89,-0.61,-0.28,-53998844
2014-02-15 12:45:00,192853014,-0.94,-0.64,-0.3,-57855904
2014-05-17 23:15:00,192853014,-0.83,-0.57,-0.26,-50141784
2014-08-17 06:45:00,192853014,-0.65,-0.47,-0.18,-34713543
2014-11-16 14:15:00,192853014,-0.44,-0.38,-0.06,-11571181
2015-02-15 12:45:00,192853014,-0.26,-0.31,0.05,9642651
2015-05-17 23:15:00,192853014,-0.19,-0.28,0.09,17356771
2015-08-17 06:45:00,192853014,-0.14,-0.22,0.08,15428241
2015-11-16 14:15:00,192853014,-0.09,-0.17,0.08,15428241
2016-02-15 12:45:00,192853014,-0.05,-0.13,0.08,15428241
2016-05-16 23:15:00,192853014,-0.05,-0.11,0.06,11571181
2016-08-16 06:45:00,192853014,-0.04,-0.1,0.06,11571181
2016-11-15 14:15:00,192853014,-0.02,-0.09,0.07,13499711
2017-02-16 00:45:00,192853014,-0.03,-0.11,0.08,15428241
2017-05-17 23:15:00,192853014,-0.09,-0.16,0.07,13499711
2017-08-17 06:45:00,192853014,-0.15,-0.22,0.07,13499711
2017-11-16 14:15:00,192853014,-0.2,-0.27,0.07,13499711
2018-02-15 12:45:00,192853014,-0.24,-0.31,0.07,13499711
2018-05-17 23:15:00,192853014,-0.28,-0.32,0.04,7714121
2018-08-17 06:45:00,192853014,-0.29,-0.3,0.01,1928530
2018-11-16 14:15:00,192853014,-0.2,-0.22,0.02,3857060
2019-02-15 12:45:00,192853014,-0.1,-0.15,0.05,9642651
2019-05-18 05:15:00,192853014,-0.35,-0.37,0.02,3857060
2019-08-17 12:45:00,192853014,0.27,0.21,0.06,11571181
2019-11-16 20:15:00,192853014,0.54,0.56,-0.02,-3857060
2020-02-16 03:45:00,192853014,-0.74,-0.74,0.0,0
2020-05-17 11:15:00,192853014,-0.47,-0.49,0.02,3857060
2020-08-16 18:45:00,192853014,0.6,0.57,0.03,5785590
2020-11-16 02:15:00,192853014,-0.26,-0.26,0.0,0
2021-02-15 09:45:00,192853014,-0.66,-0.67,0.01,1928530
2021-05-17 17:15:00,192853014,-0.43,-0.47,0.04,7714121
2021-08-17 00:45:00,192853014,-0.26,-0.34,0.08,15428241
2021-11-16 08:15:00,192853014,-0.26,-0.3,0.04,7714121
2022-02-15 15:45:00,192853014,-0.41,-0.42,0.01,1928530
2022-05-17 23:15:00,192853014,-0.43,-0.42,-0.01,-1928530
2022-08-17 06:45:00,192853014,0.2,0.15,0.05,9642651
2022-11-16 14:15:00,192853014,-0.14,-0.18,0.04,7714121
2023-02-15 21:45:00,192853014,-0.62,-0.52,-0.1,-19285301
2023-05-18 05:15:00,192853014,-0.64,-0.52,-0.12,-23142362
2023-08-17 12:45:00,192853014,0.3,-0.0,0.3,57855904
2023-11-16 20:15:00,192853014,0.64,0.11,0.53,102212098
2024-02-16 03:45:00,192853014,-0.52,-0.41,-0.11,-21213832
2024-05-17 11:15:00,192853014,-0.33,-0.27,-0.06,-11571181
2024-08-16 18:45:00,192853014,0.29,0.37,-0.08,-15428241
2024-11-16 02:15:00,192853014,-0.45,-0.39,-0.06,-11571181
