mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-04-02 13:30:00,983079919.9348156,-0.12,-0.04,-0.08,-78646394.0
2019-07-02 21:00:00,983079919.9348156,0.06,0.0,0.06,58984795.0
2019-10-02 04:30:00,983079919.9348156,0.12,0.03,0.09,88477193.0
2020-01-01 12:00:00,983079919.9348156,0.03,-0.04,0.07,68815594.0
2020-04-01 19:30:00,983079919.9348156,0.09,0.0,0.09,88477193.0
2020-07-02 03:00:00,983079919.9348156,0.13,0.02,0.11,108138791.0
2020-10-01 10:30:00,983079919.9348156,0.16,0.03,0.13,127800390.0
2020-12-31 18:00:00,983079919.9348156,0.09,-0.0,0.09,88477193.0
2021-04-02 01:30:00,983079919.9348156,0.04,-0.07,0.11,108138791.0
2021-07-02 09:00:00,983079919.9348156,0.13,0.02,0.11,108138791.0
2021-10-01 16:30:00,983079919.9348156,0.26,0.16,0.1,98307992.0
2022-01-01 00:00:00,983079919.9348156,-0.01,0.0,-0.01,-9830799.0
2022-04-02 07:30:00,983079919.9348156,0.06,0.12,-0.06,-58984795.0
2022-07-02 15:00:00,983079919.9348156,-0.09,-0.03,-0.06,-58984795.0
2022-10-01 22:30:00,983079919.9348156,0.08,0.13,-0.05,-49153996.0
2023-01-01 06:00:00,983079919.9348156,-0.11,-0.04,-0.07,-68815594.0
2023-04-02 13:30:00,983079919.9348156,-0.04,-0.01,-0.03,-29492398.0
2023-07-02 21:00:00,983079919.9348156,-0.32,-0.04,-0.28,-275262378.0
2023-10-02 04:30:00,983079919.9348156,-0.41,0.01,-0.42,-412893566.0
2024-01-01 12:00:00,983079919.9348156,-0.11,-0.05,-0.06,-58984795.0
2024-04-01 19:30:00,983079919.9348156,0.01,-0.03,0.04,39323197.0
2024-07-02 03:00:00,983079919.9348156,0.05,-0.03,0.08,78646394.0
2024-10-01 10:30:00,983079919.9348156,0.14,0.02,0.12,117969590.0
2024-12-31 18:00:00,983079919.9348156,0.07,-0.0,0.07,68815594.0
