mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-01-01 00:00:00,25871212,-0.05,-0.0,-0.05,-1293561
2019-04-02 06:00:00,25871212,0.0,0.02,-0.02,-517424
2019-07-02 12:00:00,25871212,0.01,0.03,-0.02,-517424
2019-10-01 18:00:00,25871212,-0.02,0.02,-0.04,-1034848
2020-01-01 00:00:00,25871212,0.03,0.02,0.01,258712
2020-04-01 12:00:00,25871212,0.01,0.01,0.0,0
2020-07-02 00:00:00,25871212,-0.01,0.03,-0.04,-1034848
2020-10-01 12:00:00,25871212,-0.01,-0.01,0.0,0
2021-01-01 00:00:00,25871212,0.02,-0.01,0.03,776136
2021-04-02 06:00:00,25871212,0.02,0.01,0.01,258712
2021-07-02 12:00:00,25871212,0.02,0.01,0.01,258712
