mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-01-01 00:00:00,145716132,0.06,0.02,0.04,5828645
2019-04-02 06:00:00,145716132,0.07,0.0,0.07,10200129
2019-07-02 12:00:00,145716132,0.09,-0.0,0.09,13114452
2019-10-01 18:00:00,145716132,0.07,0.03,0.04,5828645
2020-01-01 00:00:00,145716132,0.12,0.08,0.04,5828645
2020-04-01 12:00:00,145716132,0.12,0.07,0.05,7285807
2020-07-02 00:00:00,145716132,0.03,0.01,0.02,2914323
2020-10-01 12:00:00,145716132,-0.03,-0.05,0.02,2914323
2021-01-01 00:00:00,145716132,-0.06,-0.06,0.0,0
2021-04-02 06:00:00,145716132,-0.06,-0.06,0.0,0
2021-07-02 12:00:00,145716132,-0.06,-0.06,0.0,0
