mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),date,mid_pt_datetime_CS2,stationary_outline_area (m^2)_CS2,stationary_outline_dh (m)_CS2,stationary_outline_region_dh (m)_CS2,stationary_outline_dh_corr (m)_CS2,stationary_outline_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,233002708.35464332,0.28,0.08,0.2,46600542.0,2019-01-01,2019-01-01 00:00:00,233002708.35464332,0.28,0.08,0.2,46600542.0,Lake78
2019-04-02 13:30:00,233002708.35464332,-0.35,-0.08,-0.27,-62910731.0,2019-04-02,2019-04-02 06:00:00,233002708.35464332,-0.08,-0.01,-0.07,-16310190.0,Lake78
2019-07-02 21:00:00,233002708.35464332,-0.13,0.04,-0.17,-39610460.0,2019-07-02,2019-07-02 12:00:00,233002708.35464332,-0.13,-0.06,-0.07,-16310190.0,Lake78
2019-10-02 04:30:00,233002708.35464332,0.32,0.26,0.06,13980163.0,2019-10-02,2019-10-01 18:00:00,233002708.35464332,0.11,0.03,0.08,18640217.0,Lake78
2020-01-01 12:00:00,233002708.35464332,0.44,0.01,0.43,100191165.0,2020-01-01,2020-01-01 00:00:00,233002708.35464332,0.31,0.11,0.2,46600542.0,Lake78
2020-04-01 19:30:00,233002708.35464332,0.37,0.05,0.32,74560867.0,2020-04-01,2020-04-01 12:00:00,233002708.35464332,0.2,0.08,0.12,27960325.0,Lake78
2020-07-02 03:00:00,233002708.35464332,-0.26,0.1,-0.36,-83880975.0,2020-07-02,2020-07-02 00:00:00,233002708.35464332,-0.08,0.01,-0.09,-20970244.0,Lake78
2020-10-01 10:30:00,233002708.35464332,-0.27,0.01,-0.28,-65240758.0,2020-10-01,2020-10-01 12:00:00,233002708.35464332,-0.16,-0.01,-0.15,-34950406.0,Lake78
2020-12-31 18:00:00,233002708.35464332,-0.07,-0.06,-0.01,-2330027.0,2020-12-31,2021-01-01 00:00:00,233002708.35464332,-0.1,-0.04,-0.06,-13980163.0,Lake78
2021-04-02 01:30:00,233002708.35464332,0.16,-0.06,0.22,51260596.0,2021-04-02,2021-04-02 06:00:00,233002708.35464332,-0.06,-0.05,-0.01,-2330027.0,Lake78
2021-07-02 09:00:00,233002708.35464332,0.07,0.21,-0.14,-32620379.0,2021-07-02,2021-07-02 12:00:00,233002708.35464332,-0.05,-0.04,-0.01,-2330027.0,Lake78
