mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-10-01 22:30:00,66898421,-0.05,-0.1,0.05,3344921
2011-01-01 00:00:00,66898421,-0.02,-0.07,0.05,3344921
2011-04-02 07:30:00,66898421,-0.03,-0.04,0.01,668984
2011-07-02 15:00:00,66898421,-0.08,-0.06,-0.02,-1337968
2011-10-01 22:30:00,66898421,-0.01,-0.02,0.01,668984
2012-01-01 00:00:00,66898421,0.02,-0.0,0.02,1337968
2012-04-01 07:30:00,66898421,0.02,-0.0,0.02,1337968
2012-07-01 15:00:00,66898421,0.02,0.03,-0.01,-668984
2012-09-30 22:30:00,66898421,0.01,0.02,-0.01,-668984
2013-01-01 00:00:00,66898421,-0.01,0.01,-0.02,-1337968
2013-04-02 07:30:00,66898421,0.04,0.02,0.02,1337968
2013-07-02 15:00:00,66898421,0.17,0.01,0.16,10703747
2013-10-01 22:30:00,66898421,0.52,0.07,0.45,30104290
2014-01-01 00:00:00,66898421,0.5,0.08,0.42,28097337
2014-04-02 07:30:00,66898421,0.05,-0.03,0.08,5351874
2014-07-02 15:00:00,66898421,-0.01,0.0,-0.01,-668984
2014-10-01 22:30:00,66898421,-0.08,0.01,-0.09,-6020858
2015-01-01 00:00:00,66898421,-0.22,-0.0,-0.22,-14717653
2015-04-02 07:30:00,66898421,-0.21,-0.01,-0.2,-13379684
2015-07-02 15:00:00,66898421,-0.18,-0.03,-0.15,-10034763
2015-10-01 22:30:00,66898421,-0.11,0.01,-0.12,-8027811
2016-01-01 00:00:00,66898421,-0.04,0.02,-0.06,-4013905
2016-04-01 07:30:00,66898421,0.11,0.04,0.07,4682890
2016-07-01 15:00:00,66898421,0.43,0.08,0.35,23414448
2016-09-30 22:30:00,66898421,0.34,0.09,0.25,16724605
2017-01-01 00:00:00,66898421,-0.3,-0.07,-0.23,-15386637
2017-04-02 07:30:00,66898421,-0.43,-0.08,-0.35,-23414448
2017-07-02 15:00:00,66898421,-0.25,-0.02,-0.23,-15386637
2017-10-01 22:30:00,66898421,-0.13,-0.01,-0.12,-8027811
2018-01-01 00:00:00,66898421,-0.08,-0.02,-0.06,-4013905
2018-04-02 07:30:00,66898421,-0.08,-0.06,-0.02,-1337968
2018-07-02 15:00:00,66898421,-0.07,-0.03,-0.04,-2675937
2018-10-01 22:30:00,66898421,-0.06,-0.02,-0.04,-2675937
2019-01-01 00:00:00,66898421,-0.03,-0.0,-0.03,-2006953
2019-04-02 13:30:00,66898421,0.0,-0.02,0.02,1337968
2019-07-02 21:00:00,66898421,0.03,0.01,0.02,1337968
2019-10-02 04:30:00,66898421,0.18,0.18,0.0,0
2020-01-01 12:00:00,66898421,-0.11,-0.07,-0.04,-2675937
2020-04-01 19:30:00,66898421,-0.06,-0.0,-0.06,-4013905
2020-07-02 03:00:00,66898421,0.29,0.04,0.25,16724605
2020-10-01 10:30:00,66898421,1.34,0.23,1.11,74257248
2020-12-31 18:00:00,66898421,0.19,0.05,0.14,9365779
2021-04-02 01:30:00,66898421,-0.72,-0.24,-0.48,-32111242
2021-07-02 09:00:00,66898421,-0.43,0.07,-0.5,-33449211
2021-10-01 16:30:00,66898421,-0.35,-0.06,-0.29,-19400542
2022-01-01 00:00:00,66898421,-0.21,-0.16,-0.05,-3344921
2022-04-02 07:30:00,66898421,0.02,0.07,-0.05,-3344921
2022-07-02 15:00:00,66898421,-0.02,0.01,-0.03,-2006953
2022-10-01 22:30:00,66898421,-0.08,-0.05,-0.03,-2006953
2023-01-01 06:00:00,66898421,-0.08,-0.04,-0.04,-2675937
2023-04-02 13:30:00,66898421,-0.09,-0.05,-0.04,-2675937
2023-07-02 21:00:00,66898421,-0.03,-0.01,-0.02,-1337968
2023-10-02 04:30:00,66898421,0.05,0.08,-0.03,-2006953
2024-01-01 12:00:00,66898421,-0.1,-0.09,-0.01,-668984
2024-04-01 19:30:00,66898421,0.21,0.01,0.2,13379684
2024-07-02 03:00:00,66898421,1.13,0.27,0.86,57532643
2024-10-01 10:30:00,66898421,0.21,0.09,0.12,8027811
2024-12-31 18:00:00,66898421,-0.53,-0.14,-0.39,-26090384
