midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-05-18 05:15:00,59986472,0.14,0.21,-0.07,-4199053
2019-08-17 12:45:00,59986472,0.05,-0.05,0.1,5998647
2019-11-16 20:15:00,59986472,0.06,-0.11,0.17,10197700
2020-02-16 03:45:00,59986472,-0.06,-0.12,0.06,3599188
2020-05-17 11:15:00,59986472,0.07,0.03,0.04,2399459
2020-08-16 18:45:00,59986472,0.07,0.16,-0.09,-5398783
2020-11-16 02:15:00,59986472,0.09,-0.01,0.1,5998647
2021-02-15 09:45:00,59986472,-0.03,-0.06,0.03,1799594
2021-05-17 17:15:00,59986472,0.03,0.03,0.0,0
2021-08-17 00:45:00,59986472,0.09,0.14,-0.05,-2999324
2021-11-16 08:15:00,59986472,0.01,-0.01,0.02,1199729
2022-02-15 15:45:00,59986472,-0.13,-0.1,-0.03,-1799594
2022-05-17 23:15:00,59986472,0.1,0.1,0.0,0
2022-08-17 06:45:00,59986472,0.02,0.0,0.02,1199729
2022-11-16 14:15:00,59986472,-0.04,0.01,-0.05,-2999324
2023-02-15 21:45:00,59986472,0.24,-0.05,0.29,17396077
2023-05-18 05:15:00,59986472,-0.01,-0.24,0.23,13796889
2023-08-17 12:45:00,59986472,0.1,0.18,-0.08,-4798918
2023-11-16 20:15:00,59986472,0.1,0.08,0.02,1199729
2024-02-16 03:45:00,59986472,-0.19,-0.17,-0.02,-1199729
2024-05-17 11:15:00,59986472,0.12,0.07,0.05,2999324
2024-08-16 18:45:00,59986472,0.15,0.28,-0.13,-7798241
2024-11-16 02:15:00,59986472,-0.11,-0.34,0.23,13796889
