mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-10-01 22:30:00,39496829,0.07,0.08,-0.01,-394968
2011-01-01 00:00:00,39496829,0.04,0.05,-0.01,-394968
2011-04-02 07:30:00,39496829,-0.01,0.02,-0.03,-1184905
2011-07-02 15:00:00,39496829,-0.12,-0.04,-0.08,-3159746
2011-10-01 22:30:00,39496829,-0.18,-0.06,-0.12,-4739619
2012-01-01 00:00:00,39496829,-0.1,-0.02,-0.08,-3159746
2012-04-01 07:30:00,39496829,-0.02,0.03,-0.05,-1974841
2012-07-01 15:00:00,39496829,-0.03,0.02,-0.05,-1974841
2012-09-30 22:30:00,39496829,-0.09,-0.01,-0.08,-3159746
2013-01-01 00:00:00,39496829,-0.12,-0.03,-0.09,-3554715
2013-04-02 07:30:00,39496829,-0.14,-0.06,-0.08,-3159746
2013-07-02 15:00:00,39496829,-0.16,-0.07,-0.09,-3554715
2013-10-01 22:30:00,39496829,-0.12,-0.05,-0.07,-2764778
2014-01-01 00:00:00,39496829,-0.05,-0.02,-0.03,-1184905
2014-04-02 07:30:00,39496829,0.02,0.0,0.02,789937
2014-07-02 15:00:00,39496829,0.05,0.01,0.04,1579873
2014-10-01 22:30:00,39496829,0.05,0.01,0.04,1579873
2015-01-01 00:00:00,39496829,0.08,0.02,0.06,2369810
2015-04-02 07:30:00,39496829,0.15,0.05,0.1,3949683
2015-07-02 15:00:00,39496829,0.21,0.09,0.12,4739619
2015-10-01 22:30:00,39496829,0.26,0.12,0.14,5529556
2016-01-01 00:00:00,39496829,0.27,0.11,0.16,6319493
2016-04-01 07:30:00,39496829,0.23,0.09,0.14,5529556
2016-07-01 15:00:00,39496829,0.22,0.1,0.12,4739619
2016-09-30 22:30:00,39496829,0.17,0.09,0.08,3159746
2017-01-01 00:00:00,39496829,0.13,0.09,0.04,1579873
2017-04-02 07:30:00,39496829,0.09,0.07,0.02,789937
2017-07-02 15:00:00,39496829,0.01,0.04,-0.03,-1184905
2017-10-01 22:30:00,39496829,-0.02,0.04,-0.06,-2369810
2018-01-01 00:00:00,39496829,0.02,0.06,-0.04,-1579873
2018-04-02 07:30:00,39496829,0.03,0.05,-0.02,-789937
2018-07-02 15:00:00,39496829,-0.11,-0.02,-0.09,-3554715
2018-10-01 22:30:00,39496829,-0.29,-0.11,-0.18,-7109429
2019-01-01 00:00:00,39496829,-0.39,-0.17,-0.22,-8689302
2019-04-02 13:30:00,39496829,-0.21,-0.2,-0.01,-394968
2019-07-02 21:00:00,39496829,-0.5,-0.08,-0.42,-16588668
2019-10-02 04:30:00,39496829,-0.15,0.01,-0.16,-6319493
2020-01-01 12:00:00,39496829,-0.12,-0.15,0.03,1184905
2020-04-01 19:30:00,39496829,0.39,-0.03,0.42,16588668
2020-07-02 03:00:00,39496829,0.68,0.14,0.54,21328288
2020-10-01 10:30:00,39496829,0.6,0.17,0.43,16983637
2020-12-31 18:00:00,39496829,0.35,0.08,0.27,10664144
2021-04-02 01:30:00,39496829,0.06,-0.08,0.14,5529556
2021-07-02 09:00:00,39496829,0.24,0.19,0.05,1974841
2021-10-01 16:30:00,39496829,0.17,0.07,0.1,3949683
2022-01-01 00:00:00,39496829,0.03,-0.01,0.04,1579873
2022-04-02 07:30:00,39496829,0.07,0.09,-0.02,-789937
2022-07-02 15:00:00,39496829,-0.22,-0.09,-0.13,-5134588
2022-10-01 22:30:00,39496829,0.07,0.02,0.05,1974841
2023-01-01 06:00:00,39496829,-0.08,-0.14,0.06,2369810
2023-04-02 13:30:00,39496829,-0.22,-0.16,-0.06,-2369810
2023-07-02 21:00:00,39496829,0.06,-0.01,0.07,2764778
2023-10-02 04:30:00,39496829,0.05,0.23,-0.18,-7109429
2024-01-01 12:00:00,39496829,-1.03,-0.38,-0.65,-25672939
2024-04-01 19:30:00,39496829,-0.51,-0.15,-0.36,-14218858
2024-07-02 03:00:00,39496829,-0.32,-0.01,-0.31,-12244017
2024-10-01 10:30:00,39496829,-0.12,0.16,-0.28,-11059112
2024-12-31 18:00:00,39496829,-0.49,-0.26,-0.23,-9084271
