mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-04-02 13:30:00,709642170,-0.1,-0.01,-0.09,-63867795
2019-07-02 21:00:00,709642170,-0.15,0.04,-0.19,-134832012
2019-10-02 04:30:00,709642170,0.44,0.05,0.39,276760447
2020-01-01 12:00:00,709642170,0.13,-0.07,0.2,141928434
2020-04-01 19:30:00,709642170,0.06,0.05,0.01,7096422
2020-07-02 03:00:00,709642170,-0.08,-0.01,-0.07,-49674952
2020-10-01 10:30:00,709642170,-0.09,0.02,-0.11,-78060639
2020-12-31 18:00:00,709642170,-0.13,-0.0,-0.13,-92253482
2021-04-02 01:30:00,709642170,-0.1,-0.03,-0.07,-49674952
2021-07-02 09:00:00,709642170,-0.08,0.01,-0.09,-63867795
2021-10-01 16:30:00,709642170,-0.12,0.01,-0.13,-92253482
2022-01-01 00:00:00,709642170,-0.23,-0.07,-0.16,-113542747
2022-04-02 07:30:00,709642170,0.05,-0.01,0.06,42578530
2022-07-02 15:00:00,709642170,0.37,0.04,0.33,234181916
2022-10-01 22:30:00,709642170,0.08,0.01,0.07,49674952
2023-01-01 06:00:00,709642170,-0.15,-0.08,-0.07,-49674952
2023-04-02 13:30:00,709642170,-0.1,-0.02,-0.08,-56771374
2023-07-02 21:00:00,709642170,-0.07,0.03,-0.1,-70964217
2023-10-02 04:30:00,709642170,-0.03,0.07,-0.1,-70964217
2024-01-01 12:00:00,709642170,-0.13,-0.07,-0.06,-42578530
2024-04-01 19:30:00,709642170,-0.03,0.01,-0.04,-28385687
2024-07-02 03:00:00,709642170,-0.06,0.02,-0.08,-56771374
2024-10-01 10:30:00,709642170,-0.02,-0.03,0.01,7096422
