mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-10-01 18:00:00,186643988.03998804,0.49,0.22,0.27,50393877.0
2011-01-01 00:00:00,186643988.03998804,0.52,0.18,0.34,63458956.0
2011-04-02 06:00:00,186643988.03998804,0.59,0.22,0.37,69058276.0
2011-07-02 12:00:00,186643988.03998804,0.52,0.27,0.25,46660997.0
2011-10-01 18:00:00,186643988.03998804,0.24,0.21,0.03,5599320.0
2012-01-01 00:00:00,186643988.03998804,-0.05,0.12,-0.17,-31729478.0
2012-04-01 12:00:00,186643988.03998804,-0.18,0.07,-0.25,-46660997.0
2012-07-02 00:00:00,186643988.03998804,-0.44,0.01,-0.45,-83989795.0
2012-10-01 12:00:00,186643988.03998804,-0.56,-0.03,-0.53,-98921314.0
2013-01-01 00:00:00,186643988.03998804,-0.42,-0.0,-0.42,-78390475.0
2013-04-02 06:00:00,186643988.03998804,-0.25,0.01,-0.26,-48527437.0
2013-07-02 12:00:00,186643988.03998804,-0.01,0.05,-0.06,-11198639.0
2013-10-01 18:00:00,186643988.03998804,0.23,0.07,0.16,29863038.0
2014-01-01 00:00:00,186643988.03998804,0.35,0.11,0.24,44794557.0
2014-04-02 06:00:00,186643988.03998804,0.29,0.1,0.19,35462358.0
2014-07-02 12:00:00,186643988.03998804,0.19,0.1,0.09,16797959.0
2014-10-01 18:00:00,186643988.03998804,0.28,0.14,0.14,26130158.0
2015-01-01 00:00:00,186643988.03998804,0.46,0.16,0.3,55993196.0
2015-04-02 06:00:00,186643988.03998804,0.35,0.16,0.19,35462358.0
2015-07-02 12:00:00,186643988.03998804,0.32,0.18,0.14,26130158.0
2015-10-01 18:00:00,186643988.03998804,0.25,0.2,0.05,9332199.0
2016-01-01 00:00:00,186643988.03998804,0.1,0.15,-0.05,-9332199.0
2016-04-01 12:00:00,186643988.03998804,-0.08,0.08,-0.16,-29863038.0
2016-07-02 00:00:00,186643988.03998804,-0.22,0.03,-0.25,-46660997.0
2016-10-01 12:00:00,186643988.03998804,-0.23,0.02,-0.25,-46660997.0
2017-01-01 00:00:00,186643988.03998804,-0.07,0.06,-0.13,-24263718.0
2017-04-02 06:00:00,186643988.03998804,0.06,0.1,-0.04,-7465760.0
2017-07-02 12:00:00,186643988.03998804,0.29,0.13,0.16,29863038.0
2017-10-01 18:00:00,186643988.03998804,0.74,0.21,0.53,98921314.0
2018-01-01 00:00:00,186643988.03998804,0.94,0.3,0.64,119452152.0
2018-04-02 06:00:00,186643988.03998804,0.64,0.26,0.38,70924715.0
2018-07-02 12:00:00,186643988.03998804,0.35,0.2,0.15,27996598.0
2018-10-01 18:00:00,186643988.03998804,0.19,0.17,0.02,3732880.0
2019-01-01 00:00:00,186643988.03998804,0.1,0.13,-0.03,-5599320.0
2019-04-02 13:30:00,186643988.03998804,0.0,0.13,-0.13,-24263718.0
2019-07-02 21:00:00,186643988.03998804,-0.09,0.06,-0.15,-27996598.0
2019-10-02 04:30:00,186643988.03998804,0.04,0.18,-0.14,-26130158.0
2020-01-01 12:00:00,186643988.03998804,0.16,0.09,0.07,13065079.0
2020-04-01 19:30:00,186643988.03998804,0.44,0.24,0.2,37328798.0
2020-07-02 03:00:00,186643988.03998804,-0.21,0.08,-0.29,-54126757.0
2020-10-01 10:30:00,186643988.03998804,-0.06,0.06,-0.12,-22397279.0
2020-12-31 18:00:00,186643988.03998804,0.35,0.12,0.23,42928117.0
2021-04-02 01:30:00,186643988.03998804,-0.16,0.01,-0.17,-31729478.0
2021-07-02 09:00:00,186643988.03998804,0.14,0.21,-0.07,-13065079.0
2021-10-01 16:30:00,186643988.03998804,-0.08,0.05,-0.13,-24263718.0
2022-01-01 00:00:00,186643988.03998804,-0.53,-0.15,-0.38,-70924715.0
2022-04-02 07:30:00,186643988.03998804,-0.37,-0.03,-0.34,-63458956.0
2022-07-02 15:00:00,186643988.03998804,0.24,0.1,0.14,26130158.0
2022-10-01 22:30:00,186643988.03998804,-0.33,-0.05,-0.28,-52260317.0
2023-01-01 06:00:00,186643988.03998804,-0.47,-0.1,-0.37,-69058276.0
2023-04-02 13:30:00,186643988.03998804,-0.36,-0.1,-0.26,-48527437.0
2023-07-02 21:00:00,186643988.03998804,0.8,0.2,0.6,111986393.0
2023-10-02 04:30:00,186643988.03998804,0.35,0.22,0.13,24263718.0
2024-01-01 12:00:00,186643988.03998804,0.1,0.05,0.05,9332199.0
2024-04-01 19:30:00,186643988.03998804,-0.1,0.13,-0.23,-42928117.0
2024-07-02 03:00:00,186643988.03998804,-0.26,0.08,-0.34,-63458956.0
2024-10-01 10:30:00,186643988.03998804,-0.44,-0.04,-0.4,-74657595.0
2024-12-31 18:00:00,186643988.03998804,-0.65,-0.12,-0.53,-98921314.0
