mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-10-01 18:00:00,124695388.42828226,-0.02,-0.09,0.07,8728677.0
2011-01-01 00:00:00,124695388.42828226,-0.05,-0.1,0.05,6234769.0
2011-04-02 06:00:00,124695388.42828226,-0.06,-0.08,0.02,2493908.0
2011-07-02 12:00:00,124695388.42828226,-0.04,-0.02,-0.02,-2493908.0
2011-10-01 18:00:00,124695388.42828226,-0.03,-0.01,-0.02,-2493908.0
2012-01-01 00:00:00,124695388.42828226,-0.05,-0.04,-0.01,-1246954.0
2012-04-01 12:00:00,124695388.42828226,-0.11,-0.06,-0.05,-6234769.0
2012-07-02 00:00:00,124695388.42828226,-0.11,-0.03,-0.08,-9975631.0
2012-10-01 12:00:00,124695388.42828226,-0.17,-0.01,-0.16,-19951262.0
2013-01-01 00:00:00,124695388.42828226,-0.34,-0.05,-0.29,-36161663.0
2013-04-02 06:00:00,124695388.42828226,-0.66,-0.12,-0.54,-67335510.0
2013-07-02 12:00:00,124695388.42828226,-1.15,-0.19,-0.96,-119707573.0
2013-10-01 18:00:00,124695388.42828226,-1.62,-0.27,-1.35,-168338774.0
2014-01-01 00:00:00,124695388.42828226,-1.75,-0.31,-1.44,-179561359.0
2014-04-02 06:00:00,124695388.42828226,-1.42,-0.25,-1.17,-145893604.0
2014-07-02 12:00:00,124695388.42828226,-0.91,-0.13,-0.78,-97262403.0
2014-10-01 18:00:00,124695388.42828226,-0.37,-0.06,-0.31,-38655570.0
2015-01-01 00:00:00,124695388.42828226,-0.01,-0.05,0.04,4987816.0
2015-04-02 06:00:00,124695388.42828226,0.16,-0.05,0.21,26186032.0
2015-07-02 12:00:00,124695388.42828226,0.22,-0.05,0.27,33667755.0
2015-10-01 18:00:00,124695388.42828226,0.29,-0.06,0.35,43643386.0
2016-01-01 00:00:00,124695388.42828226,0.34,-0.05,0.39,48631201.0
2016-04-01 12:00:00,124695388.42828226,0.3,-0.05,0.35,43643386.0
2016-07-02 00:00:00,124695388.42828226,0.3,-0.02,0.32,39902524.0
2016-10-01 12:00:00,124695388.42828226,0.33,0.02,0.31,38655570.0
2017-01-01 00:00:00,124695388.42828226,0.28,0.01,0.27,33667755.0
2017-04-02 06:00:00,124695388.42828226,0.25,-0.04,0.29,36161663.0
2017-07-02 12:00:00,124695388.42828226,0.28,-0.01,0.29,36161663.0
2017-10-01 18:00:00,124695388.42828226,0.21,0.0,0.21,26186032.0
2018-01-01 00:00:00,124695388.42828226,0.13,-0.03,0.16,19951262.0
2018-04-02 06:00:00,124695388.42828226,0.07,-0.08,0.15,18704308.0
2018-07-02 12:00:00,124695388.42828226,0.1,-0.04,0.14,17457354.0
2018-10-01 18:00:00,124695388.42828226,0.13,-0.01,0.14,17457354.0
2019-01-01 00:00:00,124695388.42828226,0.08,-0.01,0.09,11222585.0
2019-04-02 13:30:00,124695388.42828226,0.16,0.14,0.02,2493908.0
2019-07-02 21:00:00,124695388.42828226,0.25,0.11,0.14,17457354.0
2019-10-02 04:30:00,124695388.42828226,0.25,0.14,0.11,13716493.0
2020-01-01 12:00:00,124695388.42828226,-0.16,-0.25,0.09,11222585.0
2020-04-01 19:30:00,124695388.42828226,0.22,0.05,0.17,21198216.0
2020-07-02 03:00:00,124695388.42828226,0.25,0.13,0.12,14963447.0
2020-10-01 10:30:00,124695388.42828226,0.06,-0.02,0.08,9975631.0
2020-12-31 18:00:00,124695388.42828226,0.05,-0.16,0.21,26186032.0
2021-04-02 01:30:00,124695388.42828226,0.23,0.08,0.15,18704308.0
2021-07-02 09:00:00,124695388.42828226,0.02,-0.17,0.19,23692124.0
2021-10-01 16:30:00,124695388.42828226,0.37,0.19,0.18,22445170.0
2022-01-01 00:00:00,124695388.42828226,-0.08,-0.16,0.08,9975631.0
2022-04-02 07:30:00,124695388.42828226,0.18,0.15,0.03,3740862.0
2022-07-02 15:00:00,124695388.42828226,-0.03,-0.01,-0.02,-2493908.0
2022-10-01 22:30:00,124695388.42828226,0.23,0.19,0.04,4987816.0
2023-01-01 06:00:00,124695388.42828226,-0.26,-0.31,0.05,6234769.0
2023-04-02 13:30:00,124695388.42828226,0.21,0.09,0.12,14963447.0
2023-07-02 21:00:00,124695388.42828226,0.15,0.04,0.11,13716493.0
2023-10-02 04:30:00,124695388.42828226,0.04,-0.04,0.08,9975631.0
2024-01-01 12:00:00,124695388.42828226,-0.05,-0.07,0.02,2493908.0
2024-04-01 19:30:00,124695388.42828226,0.04,-0.01,0.05,6234769.0
2024-07-02 03:00:00,124695388.42828226,0.2,0.1,0.1,12469539.0
2024-10-01 10:30:00,124695388.42828226,-0.07,-0.09,0.02,2493908.0
2024-12-31 18:00:00,124695388.42828226,-0.18,-0.13,-0.05,-6234769.0
