mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-10-01 18:00:00,8395718662,-0.93,-1.69,0.76,119515413
2011-01-01 00:00:00,8395718662,-0.49,-1.69,1.2,174860340
2011-04-02 06:00:00,8395718662,0.4,-1.05,1.45,195575364
2011-07-02 12:00:00,8395718662,1.15,-0.26,1.41,174688318
2011-10-01 18:00:00,8395718662,1.51,0.44,1.07,147780812
2012-01-01 00:00:00,8395718662,1.34,0.73,0.61,103557630
2012-04-01 12:00:00,8395718662,0.84,1.0,-0.16,46289960
2012-07-02 00:00:00,8395718662,-0.29,0.87,-1.16,-77210770
2012-10-01 12:00:00,8395718662,-1.72,0.43,-2.15,-249776007
2013-01-01 00:00:00,8395718662,-3.29,-0.3,-2.99,-524225564
2013-04-02 06:00:00,8395718662,-4.36,-1.03,-3.33,-849782176
2013-07-02 12:00:00,8395718662,-4.26,-0.96,-3.3,-1195342242
2013-10-01 18:00:00,8395718662,-4.42,-1.06,-3.36,-1496875725
2014-01-01 00:00:00,8395718662,-5.55,-1.8,-3.75,-1417191752
2014-04-02 06:00:00,8395718662,-5.41,-1.92,-3.49,-951306982
2014-07-02 12:00:00,8395718662,-4.03,-1.47,-2.56,-431911366
2014-10-01 18:00:00,8395718662,-2.62,-1.77,-0.85,100056731
2015-01-01 00:00:00,8395718662,-0.85,-1.65,0.8,438611929
2015-04-02 06:00:00,8395718662,0.21,-1.04,1.25,495410000
2015-07-02 12:00:00,8395718662,1.05,-0.14,1.19,417615972
2015-10-01 18:00:00,8395718662,1.51,0.36,1.15,360632455
2016-01-01 00:00:00,8395718662,1.99,0.36,1.63,366569250
2016-04-01 12:00:00,8395718662,3.38,1.09,2.29,420302351
2016-07-02 00:00:00,8395718662,4.55,1.7,2.85,476062446
2016-10-01 12:00:00,8395718662,3.99,1.4,2.59,503390194
2017-01-01 00:00:00,8395718662,2.37,0.87,1.5,522612556
2017-04-02 06:00:00,8395718662,1.3,0.55,0.75,588152016
2017-07-02 12:00:00,8395718662,0.39,0.07,0.32,709464006
2017-10-01 18:00:00,8395718662,-0.52,-0.99,0.47,787799907
2018-01-01 00:00:00,8395718662,-0.6,-1.57,0.97,716262472
2018-04-02 06:00:00,8395718662,-0.38,-1.53,1.15,539362341
2018-07-02 12:00:00,8395718662,-0.12,-0.78,0.66,311899966
2018-10-01 18:00:00,8395718662,-0.61,-0.51,-0.1,100893585
2019-01-01 00:00:00,8395718662,-1.1,-0.38,-0.72,-40846019
2019-04-02 13:30:00,8395718662,-1.95,-1.07,-0.88,-54914534
2019-07-02 21:00:00,8395718662,1.11,0.93,0.18,199388622
2019-10-02 04:30:00,8395718662,5.82,5.44,0.38,39792544
2020-01-01 12:00:00,8395718662,-9.06,-6.66,-2.4,-433135958
2020-04-01 19:30:00,8395718662,-1.23,-0.85,-0.38,-214307640
2020-07-02 03:00:00,8395718662,5.61,5.13,0.48,-142252675
2020-10-01 10:30:00,8395718662,3.63,0.72,2.91,184104947
2020-12-31 18:00:00,8395718662,-0.67,-3.7,3.03,435169643
2021-04-02 01:30:00,8395718662,-3.98,-3.78,-0.2,218695090
2021-07-02 09:00:00,8395718662,1.52,1.72,-0.2,75305560
2021-10-01 16:30:00,8395718662,3.04,2.46,0.58,67020506
2022-01-01 00:00:00,8395718662,-2.88,-4.47,1.59,710367471
2022-04-02 07:30:00,8395718662,1.68,0.38,1.3,73354176
2022-07-02 15:00:00,8395718662,4.73,2.87,1.86,48144566
2022-10-01 22:30:00,8395718662,4.4,2.93,1.47,265118006
2023-01-01 06:00:00,8395718662,-3.07,-3.79,0.72,-85297522
2023-04-02 13:30:00,8395718662,-4.0,-3.04,-0.96,-476679151
2023-07-02 21:00:00,8395718662,0.92,1.33,-0.41,-413570260
2023-10-02 04:30:00,8395718662,1.32,3.13,-1.81,-523939439
2024-01-01 12:00:00,8395718662,-8.05,-5.48,-2.57,-528705187
2024-04-01 19:30:00,8395718662,-2.61,-2.09,-0.52,-226173866
2024-07-02 03:00:00,8395718662,3.89,4.21,-0.32,-101810431
2024-10-01 10:30:00,8395718662,-3.26,-0.75,-2.51,-172547036
2024-12-31 18:00:00,8395718662,-4.86,-4.15,-0.71,49787413
