midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-05-18 05:15:00,18612848383,3.63,3.43,0.19999999999999996,171036603
2019-08-17 12:45:00,18612848383,-0.4099999999999999,0.52,-0.93,66713038
2019-11-16 20:15:00,18612848383,2.75,2.64,0.11000000000000006,247306955
2020-02-16 03:45:00,18612848383,-5.8100000000000005,-3.84,-1.97,-156541213
2020-05-17 11:15:00,18612848383,2.56,2.42,0.13999999999999993,117688030
2020-08-16 18:45:00,18612848383,6.04,3.0100000000000002,3.0300000000000002,355571408
2020-11-16 02:15:00,18612848383,3.83,2.19,1.64,249156353
2021-02-15 09:45:00,18612848383,2.15,1.6,0.55,-17402774
2021-05-17 17:15:00,18612848383,-0.52,-1.52,1.0,63579097
2021-08-17 00:45:00,18612848383,5.94,4.12,1.8199999999999998,91853601
2021-11-16 08:15:00,18612848383,4.25,2.24,2.01,184545287
2022-02-15 15:45:00,18612848383,-3.0,-3.0700000000000003,0.06999999999999995,-53958885
2022-05-17 23:15:00,18612848383,1.29,0.9,0.39,-91219926
2022-08-17 06:45:00,18612848383,5.22,3.0300000000000002,2.19,313485401
2022-11-16 14:15:00,18612848383,4.74,2.54,2.2,339038325
2023-02-15 21:45:00,18612848383,-4.53,-3.93,-0.6000000000000001,-42605540
2023-05-18 05:15:00,18612848383,-3.0500000000000003,-1.0799999999999998,-1.97,-257859413
2023-08-17 12:45:00,18612848383,3.8000000000000003,4.14,-0.33999999999999997,-296678179
2023-11-16 20:15:00,18612848383,7.8500000000000005,7.5,0.35,-241297709
2024-02-16 03:45:00,18612848383,-1.88,-1.76,-0.11999999999999995,-160669116
2024-05-17 11:15:00,18612848383,0.58,0.77,-0.18999999999999997,-158008830
2024-08-16 18:45:00,18612848383,9.11,7.8,1.31,116579526
2024-11-16 02:15:00,18612848383,-4.67,-4.43,-0.2399999999999999,-72499860
