mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-04-02 13:30:00,29301328341,1.47,2.37,-0.9,-18029976
2019-07-02 21:00:00,29301328341,0.22,1.35,-1.13,145591108
2019-10-02 04:30:00,29301328341,11.03,8.46,2.57,852342564
2020-01-01 12:00:00,29301328341,-14.19,-10.6,-3.59,-375233884
2020-04-01 19:30:00,29301328341,1.14,1.12,0.02,-38842839
2020-07-02 03:00:00,29301328341,12.14,8.21,3.93,306957192
2020-10-01 10:30:00,29301328341,7.86,2.91,4.95,569431428
2020-12-31 18:00:00,29301328341,1.83,-1.63,3.46,365323014
2021-04-02 01:30:00,29301328341,-4.97,-5.64,0.67,292991597
2021-07-02 09:00:00,29301328341,8.0,5.97,2.03,282878671
2021-10-01 16:30:00,29301328341,7.82,4.95,2.87,347634574
2022-01-01 00:00:00,29301328341,-5.86,-7.73,1.87,782595309
2022-04-02 07:30:00,29301328341,2.54,1.41,1.13,-272562250
2022-07-02 15:00:00,29301328341,10.88,6.25,4.63,585748385
2022-10-01 22:30:00,29301328341,9.77,5.52,4.25,855410711
2023-01-01 06:00:00,29301328341,-7.11,-8.38,1.27,379973576
2023-04-02 13:30:00,29301328341,-6.27,-4.09,-2.18,-388296583
2023-07-02 21:00:00,29301328341,5.1,6.11,-1.01,-800342838
2023-10-02 04:30:00,29301328341,9.13,10.93,-1.8,-816964958
2024-01-01 12:00:00,29301328341,-14.63,-7.66,-6.97,-1725035235
2024-04-01 19:30:00,29301328341,-4.84,-2.23,-2.61,-950804512
2024-07-02 03:00:00,29301328341,13.14,12.05,1.09,48333221
2024-10-01 10:30:00,29301328341,-4.92,-2.91,-2.01,-78722941
