mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),date,mid_pt_datetime_CS2,stationary_outline_area (m^2)_CS2,stationary_outline_dh (m)_CS2,stationary_outline_region_dh (m)_CS2,stationary_outline_dh_corr (m)_CS2,stationary_outline_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,143202973,-1.33,0.01,-1.34,-191891985,2019-01-01,2019-01-01 00:00:00,143202973.0,-1.33,0.01,-1.34,-191891985.0,MercerSubglacialLake
2019-04-02 13:30:00,143202973,-0.91,-0.03,-0.88,-126018617,2019-04-02,2019-04-02 06:00:00,143202973.0,-0.85,0.06,-0.91,-130314706.0,MercerSubglacialLake
2019-07-02 21:00:00,143202973,0.19,0.12,0.07,10024208,2019-07-02,2019-07-02 12:00:00,143202973.0,-0.05,0.08,-0.13,-18616387.0,MercerSubglacialLake
2019-10-02 04:30:00,143202973,1.1,0.21,0.89,127450647,2019-10-02,2019-10-01 18:00:00,143202973.0,0.42,0.1,0.32,45824952.0,MercerSubglacialLake
2020-01-01 12:00:00,143202973,0.32,0.01,0.31,44392922,2020-01-01,2020-01-01 00:00:00,143202973.0,0.18,0.1,0.08,11456238.0,MercerSubglacialLake
2020-04-01 19:30:00,143202973,-0.74,0.08,-0.82,-117426438,2020-04-01,2020-04-01 12:00:00,143202973.0,-0.42,0.07,-0.49,-70169457.0,MercerSubglacialLake
2020-07-02 03:00:00,143202973,-0.8,0.14,-0.94,-134610795,2020-07-02,2020-07-02 00:00:00,143202973.0,-0.6,0.05,-0.65,-93081933.0,MercerSubglacialLake
2020-10-01 10:30:00,143202973,-0.24,0.08,-0.32,-45824952,2020-10-01,2020-10-01 12:00:00,143202973.0,-0.33,0.03,-0.36,-51553071.0,MercerSubglacialLake
2020-12-31 18:00:00,143202973,0.47,-0.02,0.49,70169457,2020-12-31,2021-01-01 00:00:00,143202973.0,0.04,0.01,0.03,4296089.0,MercerSubglacialLake
2021-04-02 01:30:00,143202973,-0.33,-0.03,-0.3,-42960892,2021-04-02,2021-04-02 06:00:00,143202973.0,0.09,0.02,0.07,10024208.0,MercerSubglacialLake
2021-07-02 09:00:00,143202973,-0.14,0.24,-0.38,-54417130,2021-07-02,2021-07-02 12:00:00,143202973.0,0.07,0.02,0.05,7160149.0,MercerSubglacialLake
