mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),date,mid_pt_datetime_CS2,stationary_outline_area (m^2)_CS2,stationary_outline_dh (m)_CS2,stationary_outline_region_dh (m)_CS2,stationary_outline_dh_corr (m)_CS2,stationary_outline_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,188719447,0.15,0.07,0.08,15097556,2019-01-01,2019-01-01 00:00:00,188719447.95611396,0.15,0.07,0.08,15097556.0,Ninnis_1
2019-04-02 13:30:00,188719447,0.33,0.3,0.03,5661583,2019-04-02,2019-04-02 06:00:00,188719447.95611396,0.13,0.03,0.1,18871945.0,Ninnis_1
2019-07-02 21:00:00,188719447,-0.02,-0.04,0.02,3774389,2019-07-02,2019-07-02 12:00:00,188719447.95611396,0.08,0.0,0.08,15097556.0,Ninnis_1
2019-10-02 04:30:00,188719447,-0.08,-0.12,0.04,7548778,2019-10-02,2019-10-01 18:00:00,188719447.95611396,0.03,-0.02,0.05,9435972.0,Ninnis_1
2020-01-01 12:00:00,188719447,0.07,0.02,0.05,9435972,2020-01-01,2020-01-01 00:00:00,188719447.95611396,-0.02,-0.04,0.02,3774389.0,Ninnis_1
2020-04-01 19:30:00,188719447,-0.04,-0.08,0.04,7548778,2020-04-01,2020-04-01 12:00:00,188719447.95611396,-0.06,-0.08,0.02,3774389.0,Ninnis_1
2020-07-02 03:00:00,188719447,0.06,0.04,0.02,3774389,2020-07-02,2020-07-02 00:00:00,188719447.95611396,-0.09,-0.11,0.02,3774389.0,Ninnis_1
2020-10-01 10:30:00,188719447,-0.1,-0.15,0.05,9435972,2020-10-01,2020-10-01 12:00:00,188719447.95611396,-0.11,-0.11,0.0,0.0,Ninnis_1
2020-12-31 18:00:00,188719447,0.04,0.03,0.01,1887194,2020-12-31,2021-01-01 00:00:00,188719447.95611396,-0.13,-0.1,-0.03,-5661583.0,Ninnis_1
2021-04-02 01:30:00,188719447,0.11,0.08,0.03,5661583,2021-04-02,2021-04-02 06:00:00,188719447.95611396,-0.12,-0.1,-0.02,-3774389.0,Ninnis_1
2021-07-02 09:00:00,188719447,-0.18,-0.22,0.04,7548778,2021-07-02,2021-07-02 12:00:00,188719447.95611396,-0.12,-0.09,-0.03,-5661583.0,Ninnis_1
