mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),date,mid_pt_datetime_CS2,stationary_outline_area (m^2)_CS2,stationary_outline_dh (m)_CS2,stationary_outline_region_dh (m)_CS2,stationary_outline_dh_corr (m)_CS2,stationary_outline_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,26978839,0.02,-0.02,0.04,1079154,2019-01-01,2019-01-01 00:00:00,26978839.0,0.02,-0.02,0.04,1079154.0,V1
2019-04-02 13:30:00,26978839,-0.08,-0.1,0.02,539577,2019-04-02,2019-04-02 06:00:00,26978839.0,-0.03,-0.05,0.02,539577.0,V1
2019-07-02 21:00:00,26978839,0.15,0.08,0.07,1888519,2019-07-02,2019-07-02 12:00:00,26978839.0,-0.03,-0.02,-0.01,-269788.0,V1
2019-10-02 04:30:00,26978839,-0.19,0.0,-0.19,-5125979,2019-10-02,2019-10-01 18:00:00,26978839.0,-0.05,-0.02,-0.03,-809365.0,V1
2020-01-01 12:00:00,26978839,-0.26,-0.04,-0.22,-5935345,2020-01-01,2020-01-01 00:00:00,26978839.0,-0.07,-0.04,-0.03,-809365.0,V1
2020-04-01 19:30:00,26978839,-0.2,-0.08,-0.12,-3237461,2020-04-01,2020-04-01 12:00:00,26978839.0,-0.05,-0.04,-0.01,-269788.0,V1
2020-07-02 03:00:00,26978839,0.04,0.08,-0.04,-1079154,2020-07-02,2020-07-02 00:00:00,26978839.0,-0.05,-0.03,-0.02,-539577.0,V1
2020-10-01 10:30:00,26978839,-0.04,0.04,-0.08,-2158307,2020-10-01,2020-10-01 12:00:00,26978839.0,-0.1,-0.08,-0.02,-539577.0,V1
2020-12-31 18:00:00,26978839,0.04,-0.04,0.08,2158307,2020-12-31,2021-01-01 00:00:00,26978839.0,-0.15,-0.12,-0.03,-809365.0,V1
2021-04-02 01:30:00,26978839,-0.01,-0.0,-0.01,-269788,2021-04-02,2021-04-02 06:00:00,26978839.0,-0.12,-0.11,-0.01,-269788.0,V1
2021-07-02 09:00:00,26978839,-0.01,0.04,-0.05,-1348942,2021-07-02,2021-07-02 12:00:00,26978839.0,-0.11,-0.11,0.0,0.0,V1
