mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),date,mid_pt_datetime_CS2,stationary_outline_area (m^2)_CS2,stationary_outline_dh (m)_CS2,stationary_outline_region_dh (m)_CS2,stationary_outline_dh_corr (m)_CS2,stationary_outline_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,176658323,-0.03,-0.03,0.0,0,2019-01-01,2019-01-01 00:00:00,176658323.8652208,-0.03,-0.03,0.0,0.0,Wilkes_2
2019-04-02 13:30:00,176658323,-0.07,-0.08,0.01,1766583,2019-04-02,2019-04-02 06:00:00,176658323.8652208,-0.01,-0.07,0.06,10599499.0,Wilkes_2
2019-07-02 21:00:00,176658323,0.01,0.0,0.01,1766583,2019-07-02,2019-07-02 12:00:00,176658323.8652208,-0.0,-0.09,0.09,15899249.0,Wilkes_2
2019-10-02 04:30:00,176658323,-0.02,-0.0,-0.02,-3533166,2019-10-02,2019-10-01 18:00:00,176658323.8652208,-0.03,-0.1,0.07,12366083.0,Wilkes_2
2020-01-01 12:00:00,176658323,-0.11,-0.12,0.01,1766583,2020-01-01,2020-01-01 00:00:00,176658323.8652208,-0.08,-0.09,0.01,1766583.0,Wilkes_2
2020-04-01 19:30:00,176658323,0.03,0.01,0.02,3533166,2020-04-01,2020-04-01 12:00:00,176658323.8652208,-0.11,-0.08,-0.03,-5299750.0,Wilkes_2
2020-07-02 03:00:00,176658323,0.02,0.06,-0.04,-7066333,2020-07-02,2020-07-02 00:00:00,176658323.8652208,-0.13,-0.06,-0.07,-12366083.0,Wilkes_2
2020-10-01 10:30:00,176658323,0.02,0.06,-0.04,-7066333,2020-10-01,2020-10-01 12:00:00,176658323.8652208,-0.15,-0.05,-0.1,-17665832.0,Wilkes_2
2020-12-31 18:00:00,176658323,-0.01,-0.07,0.06,10599499,2020-12-31,2021-01-01 00:00:00,176658323.8652208,-0.15,-0.05,-0.1,-17665832.0,Wilkes_2
2021-04-02 01:30:00,176658323,0.03,-0.01,0.04,7066333,2021-04-02,2021-04-02 06:00:00,176658323.8652208,-0.12,-0.07,-0.05,-8832916.0,Wilkes_2
2021-07-02 09:00:00,176658323,-0.11,-0.06,-0.05,-8832916,2021-07-02,2021-07-02 12:00:00,176658323.8652208,-0.12,-0.07,-0.05,-8832916.0,Wilkes_2
