mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-04-02 13:30:00,215862086,0.21,0.21,0.0,0
2019-07-02 21:00:00,215862086,0.05,0.04,0.01,2158621
2019-10-02 04:30:00,215862086,0.19,0.19,0.0,0
2020-01-01 12:00:00,215862086,0.05,0.04,0.01,2158621
2020-04-01 19:30:00,215862086,0.14,0.14,0.0,0
2020-07-02 03:00:00,215862086,0.14,0.14,0.0,0
2020-10-01 10:30:00,215862086,0.13,0.13,0.0,0
2020-12-31 18:00:00,215862086,0.04,0.04,0.0,0
2021-04-02 01:30:00,215862086,0.06,0.05,0.01,2158621
2021-07-02 09:00:00,215862086,0.19,0.19,0.0,0
2021-10-01 16:30:00,215862086,0.08,0.08,0.0,0
2022-01-01 00:00:00,215862086,0.01,-0.01,0.02,4317242
2022-04-02 07:30:00,215862086,0.09,0.1,-0.01,-2158621
2022-07-02 15:00:00,215862086,0.42,0.17,0.25,53965522
2022-10-01 22:30:00,215862086,0.45,0.14,0.31,66917247
2023-01-01 06:00:00,215862086,0.13,0.05,0.08,17268967
2023-04-02 13:30:00,215862086,-0.04,0.09,-0.13,-28062071
2023-07-02 21:00:00,215862086,-0.04,0.09,-0.13,-28062071
2023-10-02 04:30:00,215862086,0.09,0.19,-0.1,-21586209
2024-01-01 12:00:00,215862086,-0.08,-0.02,-0.06,-12951725
2024-04-01 19:30:00,215862086,0.11,0.15,-0.04,-8634483
2024-07-02 03:00:00,215862086,0.2,0.22,-0.02,-4317242
2024-10-01 10:30:00,215862086,0.08,0.09,-0.01,-2158621
2024-12-31 18:00:00,215862086,0.07,0.06,0.01,2158621
