mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-10-01 18:00:00,145716132.58342242,0.08,0.03,0.05,7285807.0
2011-01-01 00:00:00,145716132.58342242,0.09,0.03,0.06,8742968.0
2011-04-02 06:00:00,145716132.58342242,0.1,0.02,0.08,11657291.0
2011-07-02 12:00:00,145716132.58342242,0.09,0.01,0.08,11657291.0
2011-10-01 18:00:00,145716132.58342242,-0.03,-0.02,-0.01,-1457161.0
2012-01-01 00:00:00,145716132.58342242,-0.0,0.01,-0.01,-1457161.0
2012-04-01 12:00:00,145716132.58342242,0.06,0.07,-0.01,-1457161.0
2012-07-02 00:00:00,145716132.58342242,0.08,0.1,-0.02,-2914323.0
2012-10-01 12:00:00,145716132.58342242,0.07,0.08,-0.01,-1457161.0
2013-01-01 00:00:00,145716132.58342242,0.03,0.05,-0.02,-2914323.0
2013-04-02 06:00:00,145716132.58342242,-0.01,0.02,-0.03,-4371484.0
2013-07-02 12:00:00,145716132.58342242,-0.01,0.01,-0.02,-2914323.0
2013-10-01 18:00:00,145716132.58342242,0.03,0.03,0.0,0.0
2014-01-01 00:00:00,145716132.58342242,0.1,0.07,0.03,4371484.0
2014-04-02 06:00:00,145716132.58342242,0.05,0.1,-0.05,-7285807.0
2014-07-02 12:00:00,145716132.58342242,-0.3,0.0,-0.3,-43714840.0
2014-10-01 18:00:00,145716132.58342242,-0.43,-0.17,-0.26,-37886194.0
2015-01-01 00:00:00,145716132.58342242,-0.34,-0.15,-0.19,-27686065.0
2015-04-02 06:00:00,145716132.58342242,-0.24,-0.1,-0.14,-20400259.0
2015-07-02 12:00:00,145716132.58342242,-0.15,-0.03,-0.12,-17485936.0
2015-10-01 18:00:00,145716132.58342242,-0.02,0.02,-0.04,-5828645.0
2016-01-01 00:00:00,145716132.58342242,0.07,0.02,0.05,7285807.0
2016-04-01 12:00:00,145716132.58342242,0.15,0.01,0.14,20400259.0
2016-07-02 00:00:00,145716132.58342242,0.26,0.03,0.23,33514710.0
2016-10-01 12:00:00,145716132.58342242,0.32,0.06,0.26,37886194.0
2017-01-01 00:00:00,145716132.58342242,0.17,0.06,0.11,16028775.0
2017-04-02 06:00:00,145716132.58342242,0.03,0.03,0.0,0.0
2017-07-02 12:00:00,145716132.58342242,-0.02,-0.0,-0.02,-2914323.0
2017-10-01 18:00:00,145716132.58342242,0.02,0.0,0.02,2914323.0
2018-01-01 00:00:00,145716132.58342242,0.11,0.01,0.1,14571613.0
2018-04-02 06:00:00,145716132.58342242,0.23,0.03,0.2,29143227.0
2018-07-02 12:00:00,145716132.58342242,0.18,0.04,0.14,20400259.0
2018-10-01 18:00:00,145716132.58342242,0.08,0.02,0.06,8742968.0
2019-01-01 00:00:00,145716132.58342242,0.06,0.02,0.04,5828645.0
2019-04-02 13:30:00,145716132.58342242,0.19,0.13,0.06,8742968.0
2019-07-02 21:00:00,145716132.58342242,0.08,-0.11,0.19,27686065.0
2019-10-02 04:30:00,145716132.58342242,0.14,0.09,0.05,7285807.0
2020-01-01 12:00:00,145716132.58342242,-0.19,-0.1,-0.09,-13114452.0
2020-04-01 19:30:00,145716132.58342242,0.18,0.1,0.08,11657291.0
2020-07-02 03:00:00,145716132.58342242,0.31,0.13,0.18,26228904.0
2020-10-01 10:30:00,145716132.58342242,-0.12,-0.08,-0.04,-5828645.0
2020-12-31 18:00:00,145716132.58342242,-0.09,-0.08,-0.01,-1457161.0
2021-04-02 01:30:00,145716132.58342242,-0.03,-0.03,0.0,0.0
2021-07-02 09:00:00,145716132.58342242,-0.08,0.08,-0.16,-23314581.0
2021-10-01 16:30:00,145716132.58342242,0.0,0.03,-0.03,-4371484.0
2022-01-01 00:00:00,145716132.58342242,-0.18,-0.16,-0.02,-2914323.0
2022-04-02 07:30:00,145716132.58342242,0.25,0.16,0.09,13114452.0
2022-07-02 15:00:00,145716132.58342242,0.14,0.03,0.11,16028775.0
2022-10-01 22:30:00,145716132.58342242,-0.19,-0.11,-0.08,-11657291.0
2023-01-01 06:00:00,145716132.58342242,-0.08,-0.04,-0.04,-5828645.0
2023-04-02 13:30:00,145716132.58342242,-0.2,-0.03,-0.17,-24771743.0
2023-07-02 21:00:00,145716132.58342242,0.42,0.25,0.17,24771743.0
2023-10-02 04:30:00,145716132.58342242,0.24,0.18,0.06,8742968.0
2024-01-01 12:00:00,145716132.58342242,-0.43,-0.24,-0.19,-27686065.0
2024-04-01 19:30:00,145716132.58342242,-0.02,0.11,-0.13,-18943097.0
2024-07-02 03:00:00,145716132.58342242,-0.23,-0.08,-0.15,-21857420.0
2024-10-01 10:30:00,145716132.58342242,-0.03,-0.02,-0.01,-1457161.0
2024-12-31 18:00:00,145716132.58342242,0.15,0.15,0.0,0.0
