mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-10-01 22:30:00,49205573,0.09,0.03,0.06,2952334
2011-01-01 00:00:00,49205573,0.13,0.04,0.09,4428502
2011-04-02 07:30:00,49205573,0.07,0.03,0.04,1968223
2011-07-02 15:00:00,49205573,0.02,-0.02,0.04,1968223
2011-10-01 22:30:00,49205573,-0.04,-0.05,0.01,492056
2012-01-01 00:00:00,49205573,-0.07,-0.04,-0.03,-1476167
2012-04-01 07:30:00,49205573,-0.12,-0.05,-0.07,-3444390
2012-07-01 15:00:00,49205573,-0.16,-0.08,-0.08,-3936446
2012-09-30 22:30:00,49205573,-0.16,-0.12,-0.04,-1968223
2013-01-01 00:00:00,49205573,-0.2,-0.16,-0.04,-1968223
2013-04-02 07:30:00,49205573,-0.26,-0.17,-0.09,-4428502
2013-07-02 15:00:00,49205573,-0.26,-0.17,-0.09,-4428502
2013-10-01 22:30:00,49205573,-0.18,-0.18,0.0,0
2014-01-01 00:00:00,49205573,-0.15,-0.16,0.01,492056
2014-04-02 07:30:00,49205573,-0.13,-0.12,-0.01,-492056
2014-07-02 15:00:00,49205573,-0.09,-0.09,0.0,0
2014-10-01 22:30:00,49205573,-0.02,-0.08,0.06,2952334
2015-01-01 00:00:00,49205573,-0.06,-0.12,0.06,2952334
2015-04-02 07:30:00,49205573,-0.13,-0.15,0.02,984111
2015-07-02 15:00:00,49205573,-0.14,-0.16,0.02,984111
2015-10-01 22:30:00,49205573,-0.15,-0.18,0.03,1476167
2016-01-01 00:00:00,49205573,-0.13,-0.16,0.03,1476167
2016-04-01 07:30:00,49205573,-0.12,-0.04,-0.08,-3936446
2016-07-01 15:00:00,49205573,-0.14,-0.04,-0.1,-4920557
2016-09-30 22:30:00,49205573,-0.27,-0.12,-0.15,-7380836
2017-01-01 00:00:00,49205573,-0.47,-0.2,-0.27,-13285505
2017-04-02 07:30:00,49205573,-0.76,-0.31,-0.45,-22142508
2017-07-02 15:00:00,49205573,-0.94,-0.4,-0.54,-26571010
2017-10-01 22:30:00,49205573,-0.63,-0.31,-0.32,-15745784
2018-01-01 00:00:00,49205573,-0.41,-0.25,-0.16,-7872892
2018-04-02 07:30:00,49205573,-0.3,-0.21,-0.09,-4428502
2018-07-02 15:00:00,49205573,-0.21,-0.2,-0.01,-492056
2018-10-01 22:30:00,49205573,-0.11,-0.19,0.08,3936446
2019-01-01 00:00:00,49205573,-0.03,-0.16,0.13,6396725
2019-04-02 13:30:00,49205573,-0.03,-0.07,0.04,1968223
2019-07-02 21:00:00,49205573,0.4,0.21,0.19,9349059
2019-10-02 04:30:00,49205573,0.58,0.33,0.25,12301393
2020-01-01 12:00:00,49205573,-0.39,-0.41,0.02,984111
2020-04-01 19:30:00,49205573,-0.34,-0.35,0.01,492056
2020-07-02 03:00:00,49205573,0.58,0.42,0.16,7872892
2020-10-01 10:30:00,49205573,0.0,-0.13,0.13,6396725
2020-12-31 18:00:00,49205573,-0.36,-0.3,-0.06,-2952334
2021-04-02 01:30:00,49205573,-0.26,-0.32,0.06,2952334
2021-07-02 09:00:00,49205573,0.12,-0.04,0.16,7872892
2021-10-01 16:30:00,49205573,-0.09,-0.15,0.06,2952334
2022-01-01 00:00:00,49205573,-0.2,-0.22,0.02,984111
2022-04-02 07:30:00,49205573,-0.13,-0.13,0.0,0
2022-07-02 15:00:00,49205573,-0.02,-0.07,0.05,2460279
2022-10-01 22:30:00,49205573,0.16,0.09,0.07,3444390
2023-01-01 06:00:00,49205573,-0.31,-0.35,0.04,1968223
2023-04-02 13:30:00,49205573,-0.4,-0.37,-0.03,-1476167
2023-07-02 21:00:00,49205573,-0.12,-0.2,0.08,3936446
2023-10-02 04:30:00,49205573,-0.02,-0.08,0.06,2952334
2024-01-01 12:00:00,49205573,-0.32,-0.24,-0.08,-3936446
2024-04-01 19:30:00,49205573,-0.47,-0.43,-0.04,-1968223
2024-07-02 03:00:00,49205573,0.28,0.2,0.08,3936446
2024-10-01 10:30:00,49205573,-0.26,-0.29,0.03,1476167
