mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-10-01 18:00:00,576134588,-0.21,-0.2,-0.01,-5761346
2011-01-01 00:00:00,576134588,-0.21,-0.2,-0.01,-5761346
2011-04-02 06:00:00,576134588,-0.21,-0.18,-0.03,-17284038
2011-07-02 12:00:00,576134588,-0.23,-0.16,-0.07,-40329421
2011-10-01 18:00:00,576134588,-0.23,-0.18,-0.05,-28806729
2012-01-01 00:00:00,576134588,-0.19,-0.19,0.0,0
2012-04-01 12:00:00,576134588,-0.15,-0.17,0.02,11522692
2012-07-02 00:00:00,576134588,-0.13,-0.15,0.02,11522692
2012-10-01 12:00:00,576134588,-0.2,-0.17,-0.03,-17284038
2013-01-01 00:00:00,576134588,-0.41,-0.19,-0.22,-126749609
2013-04-02 06:00:00,576134588,-0.8,-0.18,-0.62,-357203445
2013-07-02 12:00:00,576134588,-1.3,-0.17,-1.13,-651032084
2013-10-01 18:00:00,576134588,-1.74,-0.21,-1.53,-881485920
2014-01-01 00:00:00,576134588,-1.8,-0.28,-1.52,-875724574
2014-04-02 06:00:00,576134588,-1.41,-0.31,-1.1,-633748047
2014-07-02 12:00:00,576134588,-0.91,-0.3,-0.61,-351442099
2014-10-01 18:00:00,576134588,-0.44,-0.28,-0.16,-92181534
2015-01-01 00:00:00,576134588,-0.12,-0.25,0.13,74897496
2015-04-02 06:00:00,576134588,0.04,-0.21,0.25,144033647
2015-07-02 12:00:00,576134588,0.12,-0.16,0.28,161317685
2015-10-01 18:00:00,576134588,0.12,-0.17,0.29,167079031
2016-01-01 00:00:00,576134588,0.1,-0.17,0.27,155556339
2016-04-01 12:00:00,576134588,0.07,-0.17,0.24,138272301
2016-07-02 00:00:00,576134588,0.1,-0.13,0.23,132510955
2016-10-01 12:00:00,576134588,0.16,-0.11,0.27,155556339
2017-01-01 00:00:00,576134588,0.36,-0.11,0.47,270783256
2017-04-02 06:00:00,576134588,0.75,-0.11,0.86,495475746
2017-07-02 12:00:00,576134588,1.25,-0.15,1.4,806588423
2017-10-01 18:00:00,576134588,1.46,-0.24,1.7,979428800
2018-01-01 00:00:00,576134588,1.2,-0.29,1.49,858440536
2018-04-02 06:00:00,576134588,0.73,-0.28,1.01,581895934
2018-07-02 12:00:00,576134588,0.33,-0.23,0.56,322635369
2018-10-01 18:00:00,576134588,0.05,-0.19,0.24,138272301
2019-01-01 00:00:00,576134588,-0.08,-0.17,0.09,51852113
2019-04-02 13:30:00,576134588,-0.25,-0.23,-0.02,-11522692
2019-07-02 21:00:00,576134588,0.02,0.04,-0.02,-11522692
2019-10-02 04:30:00,576134588,0.16,0.27,-0.11,-63374805
2020-01-01 12:00:00,576134588,-0.53,-0.34,-0.19,-109465572
2020-04-01 19:30:00,576134588,-0.43,-0.19,-0.24,-138272301
2020-07-02 03:00:00,576134588,0.13,0.33,-0.2,-115226918
2020-10-01 10:30:00,576134588,-0.19,-0.12,-0.07,-40329421
2020-12-31 18:00:00,576134588,-0.67,-0.4,-0.27,-155556339
2021-04-02 01:30:00,576134588,-0.29,-0.24,-0.05,-28806729
2021-07-02 09:00:00,576134588,-0.21,-0.11,-0.1,-57613459
2021-10-01 16:30:00,576134588,-0.22,-0.14,-0.08,-46090767
2022-01-01 00:00:00,576134588,0.71,-0.25,0.96,553089205
2022-04-02 07:30:00,576134588,-0.48,-0.3,-0.18,-103704226
2022-07-02 15:00:00,576134588,-0.15,-0.01,-0.14,-80658842
2022-10-01 22:30:00,576134588,-0.2,-0.09,-0.11,-63374805
2023-01-01 06:00:00,576134588,-0.54,-0.39,-0.15,-86420188
2023-04-02 13:30:00,576134588,-0.37,-0.24,-0.13,-74897496
2023-07-02 21:00:00,576134588,-0.26,-0.08,-0.18,-103704226
2023-10-02 04:30:00,576134588,-0.18,-0.21,0.03,17284038
2024-01-01 12:00:00,576134588,-0.38,-0.23,-0.15,-86420188
2024-04-01 19:30:00,576134588,-0.41,-0.27,-0.14,-80658842
2024-07-02 03:00:00,576134588,0.1,0.21,-0.11,-63374805
2024-10-01 10:30:00,576134588,-0.37,-0.26,-0.11,-63374805
2024-12-31 18:00:00,576134588,-0.39,-0.32,-0.07,-40329421
