midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-08-17 06:45:00,194096015,-0.0,-0.09,0.09,17468641
2010-11-16 11:15:00,194096015,-0.03,-0.1,0.07,13586721
2011-02-15 15:45:00,194096015,-0.05,-0.11,0.06,11645761
2011-05-17 23:15:00,194096015,-0.06,-0.12,0.06,11645761
2011-08-17 06:45:00,194096015,-0.07,-0.14,0.07,13586721
2011-11-16 11:15:00,194096015,-0.04,-0.12,0.08,15527681
2012-02-15 15:45:00,194096015,0.02,-0.06,0.08,15527681
2012-05-16 23:15:00,194096015,0.04,-0.04,0.08,15527681
2012-08-16 06:45:00,194096015,-0.01,-0.07,0.06,11645761
2012-11-15 23:15:00,194096015,-0.2,-0.11,-0.09,-17468641
2013-02-15 15:45:00,194096015,-0.58,-0.19,-0.39,-75697446
2013-05-17 23:15:00,194096015,-1.04,-0.28,-0.76,-147512972
2013-08-17 06:45:00,194096015,-1.12,-0.27,-0.85,-164981614
2013-11-16 11:15:00,194096015,-0.7,-0.18,-0.52,-100929928
2014-02-15 15:45:00,194096015,-0.23,-0.09,-0.14,-27173442
2014-05-17 23:15:00,194096015,0.01,-0.06,0.07,13586721
2014-08-17 06:45:00,194096015,0.05,-0.06,0.11,21350562
2014-11-16 11:15:00,194096015,-0.01,-0.06,0.05,9704801
2015-02-15 15:45:00,194096015,-0.01,-0.05,0.04,7763841
2015-05-17 23:15:00,194096015,0.09,-0.05,0.14,27173442
2015-08-17 06:45:00,194096015,0.29,-0.03,0.32,62110725
2015-11-16 11:15:00,194096015,0.42,0.02,0.4,77638406
2016-02-15 15:45:00,194096015,0.5,0.1,0.4,77638406
2016-05-16 23:15:00,194096015,0.48,0.1,0.38,73756486
2016-08-16 06:45:00,194096015,0.31,0.05,0.26,50464964
2016-11-15 23:15:00,194096015,-0.13,-0.04,-0.09,-17468641
2017-02-15 15:45:00,194096015,-0.94,-0.24,-0.7,-135867211
2017-05-17 23:15:00,194096015,-1.88,-0.49,-1.39,-269793462
2017-08-17 06:45:00,194096015,-2.04,-0.57,-1.47,-285321143
2017-11-16 11:15:00,194096015,-1.46,-0.47,-0.99,-192155056
2018-02-15 15:45:00,194096015,-0.86,-0.35,-0.51,-98988968
2018-05-17 23:15:00,194096015,-0.45,-0.27,-0.18,-34937283
2018-08-17 06:45:00,194096015,-0.21,-0.21,0.0,0
2018-11-16 11:15:00,194096015,-0.03,-0.14,0.11,21350562
2019-02-15 21:45:00,194096015,-0.07,-0.15,0.08,15527681
2019-05-18 05:15:00,194096015,0.28,0.1,0.18,34937283
2019-08-17 12:45:00,194096015,0.73,0.41,0.32,62110725
2019-11-16 20:15:00,194096015,-0.07,-0.29,0.22,42701124
2020-02-16 03:45:00,194096015,0.24,-0.18,0.42,81520327
2020-05-17 11:15:00,194096015,0.66,0.33,0.33,64051685
2020-08-16 18:45:00,194096015,0.15,0.02,0.13,25232482
2020-11-16 02:15:00,194096015,0.19,-0.18,0.37,71815526
2021-02-15 09:45:00,194096015,-0.4,-0.18,-0.22,-42701124
2021-05-17 17:15:00,194096015,-0.24,-0.01,-0.23,-44642084
2021-08-17 00:45:00,194096015,-1.27,-0.44,-0.83,-161099693
2021-11-16 08:15:00,194096015,-0.33,-0.29,-0.04,-7763841
2022-02-15 15:45:00,194096015,-0.01,-0.14,0.13,25232482
2022-05-17 23:15:00,194096015,-0.02,0.02,-0.04,-7763841
2022-08-17 06:45:00,194096015,0.04,-0.13,0.17,32996323
2022-11-16 14:15:00,194096015,-0.26,-0.3,0.04,7763841
2023-02-15 21:45:00,194096015,-0.14,-0.24,0.1,19409602
2023-05-18 05:15:00,194096015,0.09,-0.04,0.13,25232482
2023-08-17 12:45:00,194096015,0.37,0.06,0.31,60169765
2023-11-16 20:15:00,194096015,0.25,-0.15,0.4,77638406
2024-02-16 03:45:00,194096015,0.61,-0.1,0.71,137808171
2024-05-17 11:15:00,194096015,0.9,0.25,0.65,126162410
2024-08-16 18:45:00,194096015,-0.11,-0.02,-0.09,-17468641
