midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-08-17 06:45:00,124695388,-0.02,-0.09,0.07,8728677
2010-11-16 11:15:00,124695388,-0.05,-0.1,0.05,6234769
2011-02-15 15:45:00,124695388,-0.06,-0.08,0.02,2493908
2011-05-17 23:15:00,124695388,-0.04,-0.02,-0.02,-2493908
2011-08-17 06:45:00,124695388,-0.03,-0.01,-0.02,-2493908
2011-11-16 11:15:00,124695388,-0.05,-0.04,-0.01,-1246954
2012-02-15 15:45:00,124695388,-0.11,-0.06,-0.05,-6234769
2012-05-16 23:15:00,124695388,-0.11,-0.03,-0.08,-9975631
2012-08-16 06:45:00,124695388,-0.17,-0.01,-0.16,-19951262
2012-11-15 23:15:00,124695388,-0.34,-0.05,-0.29,-36161663
2013-02-15 15:45:00,124695388,-0.66,-0.12,-0.54,-67335510
2013-05-17 23:15:00,124695388,-1.15,-0.19,-0.96,-119707573
2013-08-17 06:45:00,124695388,-1.62,-0.27,-1.35,-168338774
2013-11-16 11:15:00,124695388,-1.75,-0.31,-1.44,-179561359
2014-02-15 15:45:00,124695388,-1.42,-0.25,-1.17,-145893604
2014-05-17 23:15:00,124695388,-0.91,-0.13,-0.78,-97262403
2014-08-17 06:45:00,124695388,-0.37,-0.06,-0.31,-38655570
2014-11-16 11:15:00,124695388,-0.01,-0.05,0.04,4987816
2015-02-15 15:45:00,124695388,0.16,-0.05,0.21,26186032
2015-05-17 23:15:00,124695388,0.22,-0.05,0.27,33667755
2015-08-17 06:45:00,124695388,0.29,-0.06,0.35,43643386
2015-11-16 11:15:00,124695388,0.34,-0.05,0.39,48631201
2016-02-15 15:45:00,124695388,0.3,-0.05,0.35,43643386
2016-05-16 23:15:00,124695388,0.3,-0.02,0.32,39902524
2016-08-16 06:45:00,124695388,0.33,0.02,0.31,38655570
2016-11-15 23:15:00,124695388,0.28,0.01,0.27,33667755
2017-02-15 15:45:00,124695388,0.25,-0.04,0.29,36161663
2017-05-17 23:15:00,124695388,0.28,-0.01,0.29,36161663
2017-08-17 06:45:00,124695388,0.21,0.0,0.21,26186032
2017-11-16 11:15:00,124695388,0.13,-0.03,0.16,19951262
2018-02-15 15:45:00,124695388,0.07,-0.08,0.15,18704308
2018-05-17 23:15:00,124695388,0.1,-0.04,0.14,17457354
2018-08-17 06:45:00,124695388,0.13,-0.01,0.14,17457354
2018-11-16 11:15:00,124695388,0.08,-0.01,0.09,11222585
2019-02-15 21:45:00,124695388,0.17,0.14,0.03,3740862
2019-05-18 05:15:00,124695388,0.23,0.1,0.13,16210400
2019-08-17 12:45:00,124695388,0.26,0.15,0.11,13716493
2019-11-16 20:15:00,124695388,-0.17,-0.25,0.08,9975631
2020-02-16 03:45:00,124695388,0.23,0.05,0.18,22445170
2020-05-17 11:15:00,124695388,0.25,0.13,0.12,14963447
2020-08-16 18:45:00,124695388,0.06,-0.02,0.08,9975631
2020-11-16 02:15:00,124695388,0.04,-0.17,0.21,26186032
2021-02-15 09:45:00,124695388,0.23,0.08,0.15,18704308
2021-05-17 17:15:00,124695388,0.03,-0.17,0.2,24939078
2021-08-17 00:45:00,124695388,0.36,0.18,0.18,22445170
2021-11-16 08:15:00,124695388,-0.07,-0.15,0.08,9975631
2022-02-15 15:45:00,124695388,0.18,0.15,0.03,3740862
2022-05-17 23:15:00,124695388,-0.02,-0.01,-0.01,-1246954
2022-08-17 06:45:00,124695388,0.23,0.19,0.04,4987816
2022-11-16 14:15:00,124695388,-0.26,-0.31,0.05,6234769
2023-02-15 21:45:00,124695388,0.21,0.09,0.12,14963447
2023-05-18 05:15:00,124695388,0.15,0.04,0.11,13716493
2023-08-17 12:45:00,124695388,0.03,-0.05,0.08,9975631
2023-11-16 20:15:00,124695388,-0.04,-0.06,0.02,2493908
2024-02-16 03:45:00,124695388,0.03,-0.02,0.05,6234769
2024-05-17 11:15:00,124695388,0.22,0.14,0.08,9975631
2024-08-16 18:45:00,124695388,-0.05,-0.08,0.03,3740862
