midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-08-17 06:45:00,61969062,-0.04,-0.01,-0.03,-1859072
2010-11-16 11:15:00,61969062,-0.03,-0.01,-0.02,-1239381
2011-02-15 15:45:00,61969062,-0.0,-0.03,0.03,1859072
2011-05-17 23:15:00,61969062,-0.01,-0.04,0.03,1859072
2011-08-17 06:45:00,61969062,0.07,0.03,0.04,2478762
2011-11-16 11:15:00,61969062,0.12,0.1,0.02,1239381
2012-02-15 15:45:00,61969062,0.14,0.11,0.03,1859072
2012-05-16 23:15:00,61969062,0.14,0.11,0.03,1859072
2012-08-16 06:45:00,61969062,0.11,0.09,0.02,1239381
2012-11-15 23:15:00,61969062,0.13,0.08,0.05,3098453
2013-02-15 15:45:00,61969062,0.15,0.07,0.08,4957525
2013-05-17 23:15:00,61969062,0.16,0.02,0.14,8675669
2013-08-17 06:45:00,61969062,0.37,0.04,0.33,20449791
2013-11-16 11:15:00,61969062,0.62,0.16,0.46,28505769
2014-02-15 15:45:00,61969062,0.6,0.24,0.36,22308862
2014-05-17 23:15:00,61969062,-0.06,0.05,-0.11,-6816597
2014-08-17 06:45:00,61969062,-0.74,-0.17,-0.57,-35322366
2014-11-16 11:15:00,61969062,-0.38,-0.1,-0.28,-17351337
2015-02-15 15:45:00,61969062,-0.08,-0.01,-0.07,-4337834
2015-05-17 23:15:00,61969062,0.1,0.06,0.04,2478762
2015-08-17 06:45:00,61969062,0.14,0.09,0.05,3098453
2015-11-16 11:15:00,61969062,0.16,0.07,0.09,5577216
2016-02-15 15:45:00,61969062,0.31,0.12,0.19,11774122
2016-05-16 23:15:00,61969062,0.48,0.2,0.28,17351337
2016-08-16 06:45:00,61969062,0.05,0.09,-0.04,-2478762
2016-11-15 23:15:00,61969062,-0.25,0.0,-0.25,-15492266
2017-02-15 15:45:00,61969062,-0.05,0.04,-0.09,-5577216
2017-05-17 23:15:00,61969062,0.07,0.07,0.0,0
2017-08-17 06:45:00,61969062,0.08,0.07,0.01,619691
2017-11-16 11:15:00,61969062,0.09,0.05,0.04,2478762
2018-02-15 15:45:00,61969062,0.1,0.06,0.04,2478762
2018-05-17 23:15:00,61969062,0.13,0.09,0.04,2478762
2018-08-17 06:45:00,61969062,0.08,0.06,0.02,1239381
2018-11-16 11:15:00,61969062,0.09,0.04,0.05,3098453
2019-02-15 21:45:00,61969062,0.16,0.1,0.06,3718144
2019-05-18 05:15:00,61969062,0.1,0.05,0.05,3098453
2019-08-17 12:45:00,61969062,0.22,0.2,0.02,1239381
2019-11-16 20:15:00,61969062,0.07,0.01,0.06,3718144
2020-02-16 03:45:00,61969062,0.01,0.04,-0.03,-1859072
2020-05-17 11:15:00,61969062,0.65,0.11,0.54,33463294
2020-08-16 18:45:00,61969062,1.4,0.35,1.05,65067516
2020-11-16 02:15:00,61969062,0.35,0.15,0.2,12393812
2021-02-15 09:45:00,61969062,-1.22,-0.27,-0.95,-58870609
2021-05-17 17:15:00,61969062,-0.73,0.05,-0.78,-48335869
2021-08-17 00:45:00,61969062,0.01,0.03,-0.02,-1239381
2021-11-16 08:15:00,61969062,-0.05,-0.08,0.03,1859072
2022-02-15 15:45:00,61969062,0.13,0.1,0.03,1859072
2022-05-17 23:15:00,61969062,0.09,0.06,0.03,1859072
2022-08-17 06:45:00,61969062,0.07,0.04,0.03,1859072
2022-11-16 14:15:00,61969062,0.02,0.0,0.02,1239381
2023-02-15 21:45:00,61969062,0.05,0.04,0.01,619691
2023-05-18 05:15:00,61969062,0.11,0.07,0.04,2478762
2023-08-17 12:45:00,61969062,0.12,0.13,-0.01,-619691
2023-11-16 20:15:00,61969062,0.35,-0.0,0.35,21689172
2024-02-16 03:45:00,61969062,1.31,0.32,0.99,61349372
2024-05-17 11:15:00,61969062,-0.1,0.21,-0.31,-19210409
2024-08-16 18:45:00,61969062,-1.24,-0.34,-0.9,-55772156
