midcyc_datetime,evolving_outlines_darea (m^2),evolving_outlines_dh (m),evolving_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),static_outline_area,static_outline_dh (m),static_outline_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2018-11-16 14:15:00,4018807.3805060387,-0.25006103515625,-0.10066118836402893,-0.14939984679222107,-600409.2069350495,306237139.1510291,-0.0319935,-0.029554171,-0.0024393294,-747013.2571046865,-302218331.7705231,-0.07110701501369476,-0.14696051180362701,146604.05016963696
2019-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,306237139.1510291,-0.038592614,-0.025908021,-0.012684593,-3884493.4646226047,-306237139.1510291,0.02590802125632763,0.012684592977166176,3884493.4646226047
2019-05-18 05:15:00,0.0,0.0,0.0,0.0,0.0,306237139.1510291,0.017751196,0.015749658,0.0020015389,612945.5382809845,-306237139.1510291,-0.015749657526612282,-0.002001538872718811,-612945.5382809845
2019-08-17 12:45:00,81636148.77054414,0.30434298515319824,0.1409790813922882,0.16336390376091003,13336399.951162508,306237139.1510291,0.09378971,0.1069901,-0.013200387,-4042448.860403122,-224600990.38048497,0.03398898243904114,0.1765642911195755,17378848.81156563
2019-11-16 20:15:00,8634116.407077432,-0.2713826596736908,-0.11114627122879028,-0.1602363884449005,-1383499.6304829482,306237139.1510291,-0.12412837,-0.12175457,-0.0023737997,-726945.6234302579,-297603022.7439517,0.010608300566673279,-0.157862588763237,-656554.0070526903
2020-02-16 03:45:00,1800044.0166578293,-0.27471923828125,-0.0690399557352066,-0.2056792825460434,-370231.7618974805,306237139.1510291,-0.05571402,-0.054305114,-0.0014089048,-431458.97249474825,-304437095.1343713,-0.014734841883182526,-0.2042703777551651,61227.210597267724
2020-05-17 11:15:00,42247902.37764299,0.28536224365234375,0.14192262291908264,0.1434396207332611,6060023.093824951,306237139.1510291,0.091902226,0.10582741,-0.013925187,-4264409.517744537,-263989236.77338612,0.036095209419727325,0.15736481547355652,10324432.611569488
2020-08-16 18:45:00,0.0,0.0,0.0,0.0,0.0,306237139.1510291,0.015450256,0.024708886,-0.00925863,-2835336.2883804175,-306237139.1510291,-0.024708885699510574,0.009258629754185677,2835336.2883804175
2020-11-16 02:15:00,0.0,0.0,0.0,0.0,0.0,306237139.1510291,-0.03923829,-0.033566963,-0.005671326,-1736770.6711830178,-306237139.1510291,0.03356696292757988,0.005671326071023941,1736770.6711830178
2021-02-15 09:45:00,12626147.174006224,-0.25587159395217896,-0.13942059874534607,-0.11645099520683289,-1470327.4040409653,306237139.1510291,-0.11971252,-0.12657095,0.0068584383,2100308.509766027,-293610991.9770229,-0.01284964382648468,-0.1233094334602356,-3570635.913806992
2021-05-17 17:15:00,1272007.739415288,0.2747802734375,0.04538967087864876,0.22939060628414154,291786.62654259324,306237139.1510291,0.0456127,0.049622446,-0.004009746,-1227933.1483778483,-304965131.4116138,-0.004232775419950485,0.2334003448486328,1519719.7749204417
2021-08-17 00:45:00,38218692.89949459,0.2833508849143982,0.11366459727287292,0.16968628764152527,6485188.116626758,306237139.1510291,0.075127795,0.09029192,-0.015164122,-4643817.334556987,-268018446.25153452,0.023372679948806763,0.18485040962696075,11129005.451183744
2021-11-16 08:15:00,45120814.6773569,-0.2730235159397125,-0.14136536419391632,-0.1316581517457962,-5940523.0656854035,306237139.1510291,-0.13434047,-0.13531041,0.0009699464,297033.6058977065,-261116324.4736722,-0.0060549527406692505,-0.13262809813022614,-6237556.6715831105
2022-02-15 15:45:00,809521.5085525513,-0.256134033203125,-0.08452073484659195,-0.17161330580711365,-138924.66220466496,306237139.1510291,-0.068496704,-0.07158971,0.0030930042,947192.765761924,-305427617.64247656,-0.01293102651834488,-0.17470631003379822,-1086117.4279665889
2022-05-17 23:15:00,125826303.11877978,0.34184354543685913,0.1589539349079132,0.18288961052894592,23012323.571690727,306237139.1510291,0.12204418,0.1443628,-0.022318624,-6834791.551303573,-180410836.03224933,0.014591127634048462,0.20520824193954468,29847115.1229943
2022-08-17 06:45:00,88420500.87308924,0.3063886761665344,0.1509750634431839,0.15541361272335052,13741749.479494968,306237139.1510291,0.12126703,0.119465426,0.0018016025,551717.6084719069,-217816638.27793986,0.0315096378326416,0.15361201763153076,13190031.87102306
2022-11-16 14:15:00,70029062.07457942,-0.28557834029197693,-0.1628342717885971,-0.12274406850337982,-8595651.992509615,306237139.1510291,-0.14653036,-0.15704562,0.010515258,3220162.4404384084,-236208077.0764497,-0.005788654088973999,-0.13325932621955872,-11815814.432948023
2023-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,306237139.1510291,-0.096975036,-0.09251549,-0.004459545,-1365678.3077034985,-306237139.1510291,0.0925154909491539,0.004459545016288757,1365678.3077034985
