midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),static_outline_area (m^2),static_outline_dh (m),static_outline_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2010-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0594817580939487,0.0499059919453941,0.0095757661485546,95757.66148554662,-10000000.0,-0.0499059919453941,-0.0095757661485546,-95757.66148554662
2010-11-16 11:15:00,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0945621986018747,0.0667880934794453,0.0277741051224293,277741.05122429336,-10000000.0,-0.0667880934794453,-0.0277741051224293,-277741.05122429336
2011-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0789281921427829,0.0604406137111925,0.0184875784315904,184875.784315904,-10000000.0,-0.0604406137111925,-0.0184875784315904,-184875.784315904
2011-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0726384192750152,0.0546841248614029,0.0179542944136122,179542.9441361228,-10000000.0,-0.0546841248614029,-0.0179542944136122,-179542.9441361228
2011-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,10000000.0,0.1236297749377889,0.0915533845444862,0.0320763903933026,320763.90393302665,-10000000.0,-0.0915533845444862,-0.0320763903933026,-320763.90393302665
2011-11-16 11:15:00,0.0,0.0,0.0,0.0,0.0,10000000.0,0.1775037763621314,0.135215410308767,0.0422883660533644,422883.6605336442,-10000000.0,-0.135215410308767,-0.0422883660533644,-422883.6605336442
2012-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,10000000.0,0.2420341804331624,0.1913881992155358,0.0506459812176266,506459.81217626616,-10000000.0,-0.1913881992155358,-0.0506459812176266,-506459.81217626616
2012-05-16 23:15:00,0.0,0.0,0.0,0.0,0.0,10000000.0,0.3445771937608681,0.2644904498629887,0.0800867438978794,800867.4389787945,-10000000.0,-0.2644904498629887,-0.0800867438978794,-800867.4389787945
2012-08-16 06:45:00,0.0,0.0,0.0,0.0,0.0,10000000.0,0.6251383727664243,0.4721683156565473,0.1529700571098769,1529700.571098769,-10000000.0,-0.4721683156565473,-0.1529700571098769,-1529700.571098769
2012-11-15 23:15:00,0.0,0.0,0.0,0.0,0.0,10000000.0,0.5942633434947816,0.4620617800027015,0.13220156349208,1322015.6349208006,-10000000.0,-0.4620617800027015,-0.13220156349208,-1322015.6349208006
2013-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,10000000.0,-0.2187048086677252,-0.1287959795800143,-0.0899088290877109,-899088.2908771092,-10000000.0,0.1287959795800143,0.0899088290877109,899088.2908771092
2013-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,10000000.0,-0.510816995095987,-0.3136340100043841,-0.1971829850916028,-1971829.8509160287,-10000000.0,0.3136340100043841,0.1971829850916028,1971829.8509160287
2013-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,10000000.0,-0.2744998519021067,-0.1040961113350367,-0.1704037405670699,-1704037.4056706992,-10000000.0,0.1040961113350367,0.1704037405670699,1704037.4056706992
2013-11-16 11:15:00,0.0,0.0,0.0,0.0,0.0,10000000.0,-0.0624226012214879,0.0338829885806445,-0.0963055898021324,-963055.8980213244,-10000000.0,-0.0338829885806445,0.0963055898021324,963055.8980213244
2014-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,10000000.0,-0.0262488454904396,0.0416573661260505,-0.0679062116164901,-679062.1161649016,-10000000.0,-0.0416573661260505,0.0679062116164901,679062.1161649016
2014-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0125476015895537,0.0589925809089161,-0.0464449793193624,-464449.7931936244,-10000000.0,-0.0589925809089161,0.0464449793193624,464449.7931936244
2014-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0511579052959234,0.0842935414954872,-0.0331356361995638,-331356.36199563835,-10000000.0,-0.0842935414954872,0.0331356361995638,331356.36199563835
2014-11-16 11:15:00,0.0,0.0,0.0,0.0,0.0,10000000.0,0.1037237657095286,0.1274258271726947,-0.0237020614631661,-237020.61463166145,-10000000.0,-0.1274258271726947,0.0237020614631661,237020.61463166145
