midcyc_datetime,evolving_outlines_darea (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),static_outline_area,static_outline_dh (m),static_outline_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2018-11-16 14:15:00,31482314.662783474,-0.17870330810546875,-0.1418507844209671,-0.03685252368450165,-1160202.7467531615,131335736.39448881,-0.14767456,-0.14190204,-0.005772516,-758137.6569666242,-99853421.73170534,5.125999450683594e-05,-0.031080007553100586,-402065.08978653734
2019-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,131335736.39448881,0.054065704,0.032811426,0.021254279,2791446.3471494215,-131335736.39448881,-0.032811425626277924,-0.0212542787194252,-2791446.3471494215
2019-05-18 05:15:00,0.0,0.0,0.0,0.0,0.0,131335736.39448881,0.065043926,0.052564684,0.012479242,1638970.4294932731,-131335736.39448881,-0.05256468430161476,-0.01247924193739891,-1638970.4294932731
2019-08-17 12:45:00,23481697.820067644,0.19493035972118378,0.09168294072151184,0.10324741899967194,2424424.693652207,131335736.39448881,0.08994198,0.011734176,0.078207806,10271479.760335112,-107854038.57442117,0.07994876801967621,0.025039613246917725,-7847055.066682905
2019-11-16 20:15:00,5633215.817988396,-0.19990234076976776,-0.07085571438074112,-0.12904661893844604,-726947.4550619752,131335736.39448881,-0.061117172,-0.026416821,-0.03470035,-4557395.885550715,-125702520.57650042,-0.04443889111280441,-0.09434626996517181,3830448.43048874
2020-02-16 03:45:00,0.0,0.0,0.0,0.0,0.0,131335736.39448881,0.076591015,0.06725605,0.009334967,1226014.704793022,-131335736.39448881,-0.06725604832172394,-0.009334966540336609,-1226014.704793022
2020-05-17 11:15:00,437654.9987592697,0.19677734375,-0.00039265950908884406,0.19717000424861908,86292.43796479459,131335736.39448881,0.0036597252,-0.014153449,0.017813174,2339506.3319087857,-130898081.39572954,0.013760789297521114,0.17935682833194733,-2253213.893943991
2020-08-16 18:45:00,0.0,0.0,0.0,0.0,0.0,131335736.39448881,0.05587578,0.04799174,0.007884037,1035455.7722701072,-131335736.39448881,-0.04799174144864082,-0.007884036749601364,-1035455.7722701072
2020-11-16 02:15:00,0.0,0.0,0.0,0.0,0.0,131335736.39448881,-0.039905548,-0.027388688,-0.01251686,-1643911.0147865645,-131335736.39448881,0.027388688176870346,0.012516859918832779,1643911.0147865645
2021-02-15 09:45:00,0.0,0.0,0.0,0.0,0.0,131335736.39448881,0.05407858,0.04488297,0.009195607,1207711.8373700932,-131335736.39448881,-0.04488297179341316,-0.009195607155561447,-1207711.8373700932
2021-05-17 17:15:00,9920133.417544298,0.1974334716796875,0.11291605979204178,0.08451741188764572,838424.00203099,131335736.39448881,0.11369705,0.07587542,0.037821636,4967332.363682844,-121415602.9769445,0.03704064339399338,0.046695776283741,-4128908.3616518537
2021-08-17 00:45:00,0.0,0.0,0.0,0.0,0.0,131335736.39448881,0.03265333,0.009149908,0.023503423,3086839.332970835,-131335736.39448881,-0.00914990808814764,-0.023503422737121582,-3086839.332970835
2021-11-16 08:15:00,2240240.7768013477,-0.19158935546875,-0.1047007218003273,-0.0868886336684227,-194651.460184555,131335736.39448881,-0.09418726,-0.06886241,-0.025324851,-3326057.9912160994,-129095495.61768746,-0.03583831340074539,-0.06156378239393234,3131406.5310315443
2022-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,131335736.39448881,0.030072212,0.0030591357,0.027013076,3547782.290376439,-131335736.39448881,-0.003059135749936104,-0.027013076469302177,-3547782.290376439
2022-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,131335736.39448881,0.04651451,0.030027285,0.016487226,2165361.9533863934,-131335736.39448881,-0.03002728521823883,-0.016487225890159607,-2165361.9533863934
2022-08-17 06:45:00,4718192.659621,0.197052001953125,0.058319091796875,0.13873291015625,654568.5983470784,131335736.39448881,0.05875683,0.0050652474,0.05369158,7051623.314583757,-126617543.73486781,0.05325384438037872,0.08504132926464081,-6397054.716236679
2022-11-16 14:15:00,0.0,0.0,0.0,0.0,0.0,131335736.39448881,-0.011994362,-0.0071826978,-0.004811664,-631943.4494209294,-131335736.39448881,0.007182697765529156,0.0048116641119122505,631943.4494209294
2023-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,131335736.39448881,-0.06882143,-0.036207933,-0.032613497,-4283317.674764183,-131335736.39448881,0.036207932978868484,0.032613497227430344,4283317.674764183
